"Vulvar"	"Anal"	"Vaginal"
"Lactobacillus delbrueckii"	0	0	7.75794072105773e-05
"Lactobacillus gasseri"	0.0482841087069646	0	0
"Lactobacillus iners"	0.198633028045799	0	0.140105817644246
"Lactobacillus jensenii"	0.0169725476748129	0	0.0274673749627902
"Lactobacillus johnsonii"	0	0	0.000147250838436792
"Lactobacillus kefiranofaciens"	0	0	0.000838160292490827
"Lactobacillus paragasseri"	0	0	0.000661027756658461
"Lawsonella clevelandensis"	0.00768489385472995	0.00539373782502333	0
"Limosilactobacillus portuensis"	0	0	0.000832830155961634
"Limosilactobacillus reuteri"	0	0	0.00010271203680563
"Limosilactobacillus vaginalis"	0	0	0.000128533001615819
"Listeria monocytogenes"	0.00379157348677296	0	0
"Mageeibacillus indolicus"	0	0	0.000525750478294308
"Malassezia restricta"	0.00665611385999864	0	0
"Megamonas funiformis"	0.00122775152751776	0.00335841497823384	0
"Megasphaera hexanoica"	0	0	0.000113945296626257
"Megasphaera massiliensis"	0	0	7.32205454414741e-05
"Megasphaera stantonii"	0	0	0.000143759166430569
"Metamycoplasma hominis"	0	0	0.000422194768335062
"Micrococcus luteus"	0.00111058704401568	0	0
"Mobiluncus curtisii"	0.00209134839559301	0.00231095093469727	0.00181967470530815
"Mobiluncus sp. Marseille-Q7826"	0.00965413003327304	0.0155785848115913	0.00226960377348077
"Mogibacterium diversum"	0	0	6.80150045653174e-05
"Mogibacterium pumilum"	0	0	6.52821169009219e-05
"Murdochiella vaginalis"	0	0.00204252157968837	0
"Mycobacterium canettii"	0	0	0.000531432380758844
"Mycobacterium tuberculosis"	0	0	6.75526101049462e-05
"Mycolicibacterium smegmatis"	0	0	0.00011235535244839
"Mycoplasmopsis maculosa"	0	0	8.64599800461946e-05
"Ndongobacter massiliensis"	0	0	7.41509370063637e-05
"Odoribacter splanchnicus"	0	0.00182745814810559	0
"Paenibacillus larvae"	0	0	9.24450767897472e-05
"Parabacteroides distasonis"	0.00167519823147036	0.00649127450964973	0
"Parabacteroides merdae"	0.00130793941044646	0.0048785751896472	0
"Paraburkholderia fungorum"	0.00254233610118308	0.00313818629781426	0.00120335846158797
"Paraburkholderia phytofirmans"	0	0	6.57856064043303e-05
"Paraprevotella clara"	0	0.00142522159179738	0
"Parvimonas micra"	0.00170994716036845	0	0.000156664457740227
"Peptoniphilus equinus"	0	0	8.79998147714507e-05
"Peptoniphilus sp. GNH"	0.00208761409992142	0.00461475644428598	0.000466253873309715
"Phocaeicola dorei"	0.00557733790425971	0.0202901596677984	0
"Phocaeicola vulgatus"	0.00437095215793616	0.0170455554319539	0
"Pichia kudriavzevii"	0.00531246915338928	0	0
"Porphyromonas asaccharolytica"	0.00898488635161467	0.0125023415101456	0.00492808104671611
"Porphyromonas gingivalis"	0	0	0.000180116753553437
"Porphyromonas somerae"	0.00549715391120757	0.0108024337358571	0.00075932414127709
"Porphyromonas sp. oral taxon 275"	0	0	7.55796975874576e-05
"Prevotella bivia"	0.0411923221526385	0.0118000440148403	0.000802690912399527
"Prevotella bryantii"	0	0	0.000126478132816393
"Prevotella dentalis"	0	0	0.000147456971735829
"Prevotella denticola"	0.00169589369867181	0	0.000380380845034307
