"H_TT1"	"H_TT2"	"H_TT3"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"H_TT81"	"H_BP1"	"H_BP4"	"H_BP5"	"H_BP7"
"Curtobacterium flaccumfaciens"	718	4097	70	33	18	3585	72	72	0	0	0	73	0	1250	1369	1481	1521	1048	586	0	561	63	272	0	705	156	150	1186	341	909
"Corynebacterium kroppenstedtii"	298	669	74	278	148	113	216	6395	77	57	109	188	153	371	42	41	226	11	686	3224	9554	713	1302	667	253	286	25	169	212	722
"Corynebacterium accolens"	46	145	0	115	225	0	252	2857	740	94	6	76	827	208	125	30	0	8	111	423	4504	389	353	919	74	46	381	665	127	364
"Corynebacterium glucuronolyticum"	22	18	87	80	0	178	14937	65	3015	8790	13	1991	1273	247	151	13920	21937	1496	6830	60	94717	1941	61	366	56	532	185	124	112	75486
"Corynebacterium diphtheriae"	0	1038	1006	939	0	535	35095	8601	0	25689	913	3192	0	0	0	4737	311	2151	6850	511	5882	1136	7128	1023	29	5172	453	0	9	14883
"Mycobacterium tuberculosis"	676	1168	903	578	523	1322	21829	3108	421	463	244	1000	646	124	75	826	713	2632	1768	282	3978	5587	3053	4400	667	0	1115	0	0	6856
"Lawsonella clevelandensis"	197	919	551	242	7	930	1790	2981	487	15257	99	951	993	340	27	25136	5046	282	5274	270	61141	4445	11004	361	96	319	500	518	706	9071
"Streptomyces sp. T12"	870	742	105	38629	129	1232	5687	14736	6451	965	3107	18987	451	189	108	136	95	110	2758	1401	1332	9169	3344	553	569	1129	345	308	1199	917
"Gardnerella swidsinskii"	226624	3621	54525	0	0	0	434	148	5898	9725	664	144	292920	82	4267	267	473	0	0	870	3104	498	0	71	12	0	52125	56	75	0
"Gardnerella leopoldii"	26991	296	1995	0	0	0	993	0	183	253	107060	153	8549	0	92	32	127	0	160	158	0	25174	0	0	0	0	5326	0	0	0
"Gardnerella vaginalis"	93017	29	62937	2192	0	0	16714	801	6079	21650	950200	225781	93818	60	2369	180	230	98	73	29	919	659	384	0	112	1085	29174	0	48	30
"Salmonella enterica"	22217	20432	9682	26501	4805	18854	113901	21543	3093	10895	1654	54139	9506	2798	1063	30539	9723	13971	55036	1340	35302	32697	59448	19751	17159	10622	6059	3763	6627	25082
"Salmonella bongori"	0	4686	25409	18065	0	11876	114659	12266	0	0	0	15274	0	0	1924	15803	4088	11942	9262	0	6843	9352	9323	11276	33834	0	5578	0	0	11298
"Shigella flexneri"	1378	1388	508	1710	165	378	3247	768	0	167	0	3004	299	210	47	990	150	367	752	104	778	715	2429	186	436	771	0	0	2592	2044
"Pseudomonas aeruginosa"	378	180	1203	150	0	312	720	9816	4030	283	77	764	1168	107	191	254	581	240	25643	146	1297	1991	962	574	565	270	136	0	43	4297
"Stenotrophomonas maltophilia"	1959	1189	129	57715	292	1268	4532	14889	10440	1034	4952	36633	1050	260	263	2494	111	150	12690	880	3989	9362	7601	1014	6064	1151	592	1067	681	2666
"Pasteurella multocida"	756	1397	14	4082	0	1073	3250	16991	8721	1389	2030	49114	103	105	118	388	228	131	5520	452	1570	4509	3443	201	121	367	174	278	411	780
"Paracoccus yeei"	1100	510	155	553	87	231	104	987	665	303	400	2044	431	30	79	0	196	47	990	179	688	2624	380	557	156	446	215	336	759	560
"Prevotella intermedia"	26	20	1767	0	142	0	6798	85	52	614	92	21728	981	14	7	403	21615	0	4570	350	11811	1106	4215	45	0	31	2439	0	17	215
"Prevotella bivia"	99	9	16111	1315	145	104	443330	196	1696	255844	1656	120190	151663	6963	90	288532	276625	223	1079722	12167	116025	91646	4889	273	49	2356	16388	24	378	109975
"Hoylesella buccalis"	17	23	807	8	139	39	35725	89	42	11186	449	20342	958	62	32	10841	83965	26	2994	3528	99041	382	28120	383	6	14	823	35	10	4517
