"D_AM2"	"D_AM4"	"D_AM7"	"D_AM9"	"D_AM10"	"D_AM11"	"D_AM12"	"D_AM13"	"D_AM16"	"D_AM18"	"D_AM19"	"D_AM21"	"D_AM22"	"D_AM24"	"D_AM25"	"D_AM26"	"D_AM27"	"D_AM28"	"D_AM29"	"D_AM36"	"D_AM37"	"D_AM39"	"D_AM40"	"D_AM41"	"D_AM42"	"D_AM43"	"D_AM44"	"D_AM45"	"D_AM47"	"D_AM48"	"H_TT1"	"H_TT2"	"H_TT3"	"H_TT4"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"D_TT76"	"H_TT81"	"D_TT88"	"H_BP1"	"H_BP3"	"H_BP4"	"H_BP5"	"H_BP7"
"Lactobacillus kefiranofaciens"	24	738	13149	6434	8535	711	2095	141	3748	205	509	25	729	54	157	799	408	1413	13627	1340	198	2283	677	2960	168	583	1200	2501	820	449	22	3018	250	225	2405	646	1241	1843	1112	89	0	0	4700	0	303	896	262	420	4911	576	2519	9725	2066	343	5464	328	86	54	74	11839	41	57	0	2155
"Limosilactobacillus portuensis"	1772	170384	5028	2744	20921	7770	0	912	4076	2114	4888	0	0	0	1995	2418	6251	5678	0	6656	2218	16081	3618	0	0	5758	630	0	990	0	0	0	0	255	0	0	0	0	10095	0	0	0	19038	0	0	0	0	0	24	3202	0	10	0	2743	20720	0	0	0	0	0	0	0	0	63
"Limosilactobacillus vaginalis"	278	25689	261	206	1713	1017	13	62	281	160	261	0	29	0	487	161	1086	674	25	1519	218	1380	112	0	0	209	54	0	144	0	0	22	21	98	0	21	32	103	530	0	0	0	506	0	8	37	37	15	162	117	0	27	12	300	719	113	0	0	0	22	0	0	0	74
"Limosilactobacillus reuteri"	156	27318	851	840	1566	807	559	497	362	280	374	53	708	20	7740	351	1380	1750	976	4262	1723	1683	710	32	90	361	180	894	236	37	28	493	532	18	266	44	214	2641	679	1062	48	20	1031	93	62	417	8212	212	1747	539	541	673	403	598	1238	2258	249	103	245	400	90	237	605	8408
"Limosilactobacillus panis"	42	1110	0	30	0	0	0	0	0	0	26	0	0	0	52	35	109	124	0	88	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	63	0	70	0	0	0	20	29	19	0	0	0	0	0	0	225
"Limosilactobacillus frumenti"	8	633	10	32	42	47	0	0	0	0	8	0	0	0	326	0	0	32	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	58	0	0	24	0	0	13	0	10	0	0	0	33	62	0	0	0	0	0	0	0	22
"Lactiplantibacillus plantarum"	338	4002	1711	2181	62745	940	1423	186	1264	452	473	169	2962	440	681	450	335	3697	2254	1823	565	2718	598	548	197	789	545	753	597	178	132	422	1167	32	1118	392	853	7822	3189	1220	295	217	2294	209	518	417	1606	1635	2815	2315	689	3072	3709	914	1782	1995	165	139	273	1339	858	109	89	2792
"Lactiplantibacillus pentosus"	149	449	633	478	517	445	606	113	178	221	306	132	122	54	75	308	301	255	452	649	149	934	305	0	68	206	147	541	258	10	0	237	470	14	653	193	314	138	172	34	22	16	374	27	47	34	47	220	970	529	171	536	744	512	437	423	59	54	55	255	42	18	7	1093
"Lactiplantibacillus paraplantarum"	128	193	175	51	410	14	31	8	404	37	39	8	586	18	0	0	25	1046	1070	246	103	427	104	24	9	29	80	86	71	19	0	107	64	0	69	44	40	479	539	204	43	11	672	47	8	37	113	359	607	141	177	699	353	64	528	105	8	24	22	504	205	0	0	287
"Ligilactobacillus salivarius"	129	328	323	299	787	127	415	3810	203	1477	82	14	585	31	38	72	2894	401	566	19382	8079	12309	5290	40	32	83	60	1392	66	6	34	244	370	5	8669	166	296	1082	483	96	16	14	432	30	57	24	84	229	641	240	76	393	319	159	635	226	9	52	992	252	94	7	38	435
"Ligilactobacillus ruminis"	19	111	60	97	121	41	76	11	26	17	20	28	178	0	10	22	14	76	95	70	18	99	28	7	0	29	16	45	18	0	0	64	52	0	22	69	79	296	56	25	5	0	57	41	5	5	21	51	109	45	18	113	95	30	46	71	0	7	14	18	15	0	0	104
"Lacticaseibacillus rhamnosus"	150	122	98	125	344	61	130	27	68	52	54	25	1721	0	15	18	37	173	132	76	22	125	36	141	21	35	16	119	43	0	0	28	95	20	100	68	81	103	204	79	0	0	95	9	24	13	27	68	160	71	46	123	171	79	101	151	13	0	24	99	24	32	0	242
"Lacticaseibacillus sp. NCIMB 15474"	173	1075	771	645	384	927	1734	144	0	103	485	80	0	0	0	174	224	231	1220	858	0	530	527	229	139	344	174	1172	337	0	0	407	0	0	991	189	462	0	0	0	0	0	323	0	0	0	0	0	1164	1654	276	1542	1658	986	382	0	0	92	0	271	0	0	0	2731
"Leuconostoc gelidum"	12	14	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	15	0	490	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lentilactobacillus buchneri"	43	84	104	88	206	62	82	14	26	31	42	5	141	0	23	48	15	87	52	40	16	68	24	10	9	18	8	63	17	0	0	28	141	0	37	9	21	171	90	37	8	0	120	8	14	9	24	50	48	58	13	62	44	29	33	303	0	0	9	16	6	0	0	101
"Fructilactobacillus lindneri"	31	39	28	58	132	29	43	40	24	18	39	0	157	0	18	41	15	54	55	18	0	42	9	0	17	31	0	42	14	0	0	17	120	0	8	9	0	467	100	29	0	0	52	0	11	10	34	53	52	27	11	128	61	11	57	270	0	0	8	25	17	0	0	56
