"D_AM2"	"D_AM4"	"D_AM7"	"D_AM9"	"D_AM10"	"D_AM11"	"D_AM12"	"D_AM13"	"D_AM16"	"D_AM18"	"D_AM19"	"D_AM21"	"D_AM22"	"D_AM24"	"D_AM25"	"D_AM26"	"D_AM27"	"D_AM28"	"D_AM29"	"D_AM36"	"D_AM37"	"D_AM39"	"D_AM40"	"D_AM41"	"D_AM42"	"D_AM43"	"D_AM44"	"D_AM45"	"D_AM47"	"D_AM48"	"H_TT1"	"H_TT2"	"H_TT3"	"H_TT4"	"H_TT5"	"H_TT7"	"H_TT11"	"H_TT12"	"H_TT16"	"H_TT20"	"H_TT21"	"H_TT23"	"H_TT24"	"H_TT28"	"H_TT41"	"H_TT51"	"H_TT52"	"H_TT54"	"H_TT55"	"H_TT56"	"H_TT60"	"H_TT62"	"H_TT65"	"H_TT69"	"H_TT71"	"H_TT74"	"D_TT76"	"H_TT81"	"D_TT88"	"H_BP1"	"H_BP3"	"H_BP4"	"H_BP5"	"H_BP7"
"Pedobacter sp. G11"	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	22	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	11	24	0	0	0	0	0	0	0	0	26	0
"Pedobacter gandavensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pedobacter steynii"	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
"Pedobacter riviphilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	303	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	87	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pedobacter roseus"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	62	0	36	6896	45	18	27338	31	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	1271	1244	0	0	0	62	0	231	131	0	0	0	0	0	0	0	0	0	0	57
"Pedobacter ginsengisoli"	0	0	0	0	31	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	24	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pedobacter endophyticus"	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	157	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	9	0	0	0	9	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sphingobacterium sp. LZ7M1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	55	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sphingobacterium lactis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	18	0	0	22	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sphingobacterium spiritivorum"	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	19	0	0	37	132	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	8	0	0	0	0	0	17	0	81	16	0	0	0	0	0	0	0	0	0	0	0
"Mucilaginibacter jinjuensis"	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
"Prevotella denticola"	0	109	0	668	22	127	0	6	16	0	33	0	57	0	0	45	0	162	32	27	29	0	31	0	19	0	0	0	0	14	0	0	31	128	13	0	0	3637	9	50	0	18	856	170	0	0	153	2066	0	14410	78	4627	0	1019	17	13	19	20	0	66	14440	0	0	89
"Prevotella sp. oral taxon 299"	0	65	0	1195	48	1082	0	14	18	111	34	72	7	68	62	42	0	211	50	46	11	0	0	103	20	0	0	26	0	0	0	17	302	245	0	14	0	2268	11	308	19	22	2526	14	8	0	217	8111	0	128	254	5712	36	4687	0	0	73	25	0	377	2196	12	0	148
"Prevotella histicola"	0	23	0	150	0	84	0	0	0	16	0	0	0	0	0	0	0	60	9	13	12	11	13	254	0	0	0	0	0	11	0	0	42	32	0	0	0	1379	14	508	0	10	895	89	0	0	515	2042	0	1014	48	1478	96	168	0	0	39	12	0	249	158	0	0	128
"Prevotella nigrescens"	0	97	6	855	0	292	11	17	159	62	0	39	0	26	20	0	0	152	178	104	42	10	83	474	9	0	13	17	0	17	23	0	145	218	0	82	0	1814	342	181	23	46	2281	631	0	11	131	4639	16	299	160	7080	205	2210	0	0	96	23	28	59	414	0	19	199
"Bacteroides fragilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	18	10	0	0	167	0	0	0	16	494	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	11
"Hymenobacter sp. NBH84"	0	9	0	0	0	0	29	0	18	0	0	0	0	0	0	0	7	18	0	16	0	0	0	0	0	0	0	23	0	0	0	0	0	202	0	0	0	0	16	0	0	0	12	0	0	0	0	0	0	0	0	0	139	445	0	18	0	0	8	0	0	0	10	0
"Hymenobacter sp. BRD128"	0	22	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	24	0	46	27	0	0	0	6	0	0	12	0	0	160	0	0	0	5	45	0	0	25	24	0	0	0	0	0	0	15	0	0	15	0	0	0	0	0	0	0	44	0	0	0
"Hymenobacter sp. PAMC 26628"	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	197	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hymenobacter sp. BT18"	0	11	0	0	81	0	10	0	11	0	0	0	0	0	0	24	0	19	12	0	13	22	0	37	17	23	0	44	0	37	0	0	0	324	0	0	0	0	132	0	0	0	0	0	0	0	0	0	19	24	0	0	0	0	23	12	0	0	0	27	6	0	0	26
"Hymenobacter psoromatis"	0	0	0	0	104	0	0	0	0	0	0	22	11	0	0	0	0	0	0	32	10	0	49	52	0	0	0	0	0	0	0	18	0	199	0	0	0	0	38	0	0	0	18	0	0	0	0	0	0	61	0	0	0	26	0	0	0	18	0	0	30	0	0	26
"Hymenobacter volaticus"	0	0	0	11	33	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	18	0	0	32	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0	0
"Dyadobacter pollutisoli"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dyadobacter fanqingshengii"	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	17	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	14	0	0	0	0	0	0	0	0
"Dyadobacter sp. NIV53"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	12	0	0	0	0	0	11	0	0	0	0	9	0	0	0	0	0	0	0	8	0	0	20	0	0	71	0	0	0	0	0	0	0	0	0	0	0
"Spirosoma foliorum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Candidatus Amoebophilus asiaticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chitinophaga agri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0
"Chitinophaga horti"	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	288	22	0	0	0	0	0	0	0	0	0	0
"Arachidicoccus sp. B3-10"	0	0	0	68	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16	0	0	27	0	0	0	0	0	0	0	0	20	5	0	0	0	24	0	0	0	0	44	0	0	0	0	104	0	0	0	86	38	42	0	22	0	0	0	0	134	0	0	0
"Salinibacter ruber"	0	0	0	14	0	0	0	0	0	0	0	0	6	0	0	0	0	10	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Opitutus sp. GAS368"	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nibricoccus aquaticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	23	0	0	0	0	0	0	35	31	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Luteolibacter sp. SL250"	0	55	0	47	37	0	0	0	0	22	0	0	23	0	0	0	0	339	21	0	17	0	8	0	0	0	0	0	0	0	0	33	0	18	0	0	0	63	0	0	0	0	0	246	0	0	0	0	0	0	0	17	130	0	0	0	0	0	0	0	0	0	11	19
"Gemmata massiliana"	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Planctomyces sp. SH-PL14"	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	25	0	0	0	0	0	0	0	0	0
"Planctomyces sp. SH-PL62"	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	19	0	0	0	0	9	0	0	0	0	0	33	0	0	0	17	0	36	37	0	0	0	0	0	0	0	0	0	16	0	645	72	0	0	0	0	0	0	0	21	0	0	0
"Maioricimonas rarisocia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0
"Singulisphaera acidiphila"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	25	19	0	34	0	11	0	0	0	0	0	0	14	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	35	0	265	9	0	0	0	0	12	0	0	0	9	0	13
"Humisphaera borealis"	0	0	0	117	380	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	25	40	0	0	0	0	14	0	0	0	12	0	0	0	0	0	0	14	28	311	28	26	66	9	188	0	18	0	0	6	0	308	191	12	146	29	0	0	0	0	22	0	41	29
"Parachlamydia acanthamoebae"	0	8	0	0	770	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	16	13	15	5	0	14	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	28	7	10	0	0	0	0	0	0	0	0	0
"Campylobacter gracilis"	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	9	0	0	0	0	71	0	0	0	5	0	7	0	0	0	0	15	0	0	0	0	0	0	0	0	0
"Campylobacter hominis"	0	143	0	5139	19	200	28	0	183	0	0	0	88	12	0	6	0	191	0	129	0	0	8	0	0	0	0	8	0	0	0	0	742	25	0	0	0	37	7	0	68	0	5104	81	0	79	0	11488	0	102	22	3513	38	2476	56	5	0	83	0	0	26	11	71	0
"Campylobacter hepaticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Campylobacter upsaliensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Campylobacter showae"	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0	14	0	0	0
"Sulfurimonas gotlandica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myxococcus stipitatus"	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
"Corallococcus coralloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0
"Polyangium aurulentum"	0	0	0	55	15	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
"Sorangium cellulosum"	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	0
"Sandaracinus amylolyticus"	0	0	0	102	16	0	0	0	0	13	94	0	16	0	0	0	0	0	0	8	27	0	0	0	0	0	0	0	0	6	0	10	0	14	0	0	0	0	0	30	7	0	22	0	5	0	0	0	0	21	0	288	53	8	0	0	0	0	0	0	9	0	0	0
"Nannocystis poenicansa"	0	0	0	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	31	0	0	0	21	6	0	0	0	0	0	0	0	0	0	5	0	109	29	0	0	0	0	0	0	0	0	47	0	0
"Leptotrichia trevisanii"	0	0	0	0	63	0	10	0	0	37	0	0	12	0	0	0	0	0	16	18	0	0	0	0	0	0	0	0	0	7	11	14	0	0	11	0	0	47	23	13	0	0	0	68	0	0	0	0	42	16	0	0	0	21	7	0	0	0	0	29	57	0	15	24
"Leptotrichia wadei"	0	0	19	0	68	15	32	0	0	20	18	155	0	0	0	0	9	26	9	33	0	24	48	0	8	0	23	0	0	0	10	31	23	26	16	16	0	17	110	9	0	27	68	0	0	0	32	0	0	38	16	50	0	68	0	0	11	40	22	0	101	37	0	0
"Spirochaeta thermophila"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
"Thiospirochaeta perfilievii"	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ustilago maydis"	0	0	0	0	44	0	0	0	14	0	0	18	0	0	0	0	42	8	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	7	0	18	0	10	10	0	0	0	0	0	0	0	81	28	0	0	12	0	0	0	21	0	0	7	27
"Aspergillus oryzae"	0	0	0	0	116	0	257	0	0	0	0	312	0	0	0	0	0	138	222	0	1356	0	0	0	0	0	200	0	0	0	0	0	0	31	0	0	0	0	235	71	0	0	0	0	0	0	0	0	0	582	0	0	0	1233	0	861	49	0	0	0	0	327	0	0
"Aspergillus luchuensis"	0	0	0	204	350	0	0	0	11	13	0	49	0	0	0	0	0	184	52	69	194	16	106	208	0	25	22	51	0	186	43	47	0	23	0	0	14	204	88	12	0	0	0	0	0	15	0	0	0	232	29	0	148	222	75	203	0	0	0	60	77	0	0	259
"Plasmodium cynomolgi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0
"Cryptosporidium parvum"	0	18	0	0	78	55	0	0	11	13	45	0	17	0	0	21	0	46	23	109	196	7	187	247	335	12	47	0	0	0	0	20	0	0	21	0	5	36	342	13	1347	629	4023	0	17	9	31	6	10	241	14	50	2164	342	38	34	13	17	31	9	12	32	0	54
"Trichomonas vaginalis"	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
"Dictyostelium discoideum"	0	9	0	0	177	0	0	5	0	0	13	0	12	7	0	17	0	24	15	43	73	5	39	0	0	10	22	0	0	0	104	19	0	0	16	0	21	19	50	21	20	0	21	0	0	0	936	0	7	156	7	172	76	91	14	0	0	18	15	5	27	0	0	18
"Natronomonas pharaonis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Salinigranum rubrum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Woodchuck hepatitis virus"	0	0	0	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	29	0	0	11	0	0	0	0	0	0	0	0
"Teseptimavirus tv3A8767"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stubburvirus LKA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pahexavirus P100D"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parabacteroides phage YZ-2015b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gardnerella piotii"	0	21664	0	0	90	16368	0	0	0	38938	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4285	0	354	0	390	0	0	0	0	47118	0	60	0	1570	1337	29	0	34	161	272	0	0	512	0	61	0	0	9	443	0	0	13850	19738	0	0	0
"Bifidobacterium sp. ESL0775"	0	166	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	46	0	0	0	0	0	0	2543	0	0	0	64	154	59	0	0	35	0	0	0	0	0	0	0	0	0	53	0	0	0	2533	0	0	0
"Bifidobacterium sp. ESL0732"	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium sp. ESL0790"	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium sp. ESL0682"	0	30	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	836	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	14	0	0	0	339	0	0	0
"Bifidobacterium sp. ESL0690"	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	18	0	0	0	0	0	0	2556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0
"Bifidobacterium sp. ESL0728"	0	21	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4310	10	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium sp. ESL0800"	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium animalis"	0	6568	228	168	3311	1282	179	0	312	5418	0	0	741	0	36	344	377	0	293	300	167	180	0	0	0	0	0	0	5141	105	1167	246	1887	0	400	0	0	118249	266	258	0	4316	5420	985	0	0	5695	280	273	490	0	481	203	0	489	67	7418	187	0	225	27657	83	0	473
"Bifidobacterium imperatoris"	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium catenulatum"	0	102	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	52	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
"Bifidobacterium subtile"	0	79	0	53	0	7	0	0	7	5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	15	0	21752	0	0	0	0	636	0	0	0	5	0	0	12	0	0	0	0	0	0	18	0	0	0	8262	0	0	0
"Bifidobacterium angulatum"	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	20	0	0	0	0	0	0	106	0	0	22	12	0	0	0	0	11	0	0	0	0	0	0	0	0	0	12	0	0	0	527	0	0	0
"Bifidobacterium pullorum"	0	52	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
"Bifidobacterium actinocoloniiforme"	0	43	0	0	8	0	0	0	28	14	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	30	0	5	0	0	11	0	0	0	28969	0	0	0	6	493	12	0	0	8	16	0	0	0	0	0	0	0	0	14	0	0	0	13120	0	0	6
"Bifidobacterium dentium"	0	40	0	0	20	0	0	0	0	18	0	10	0	6	0	0	0	2282	0	7	0	0	0	0	0	0	0	0	7333	0	49	0	7	0	0	0	0	96984	0	0	0	0	8	0	804	0	6042	0	0	0	0	3970	0	0	0	0	7	0	0	0	28807	0	0	0
"Bifidobacterium choerinum"	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium asteroides"	0	29	0	0	0	36	0	0	38	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	12	0	0	0	19951	0	0	0	0	583	0	0	0	16	0	0	42	0	5	0	0	0	0	7	0	0	0	10506	47	21	0
"Bifidobacterium saguini"	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
"Bifidobacterium scardovii"	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	0	0	0	39581	36	0	0
"Bifidobacterium lemurum"	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium indicum"	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
