name	taxonomy_id	taxonomy_lvl	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Brevibacterium sandarakinum	629680	S	16	52	8	0	14	0	16	86	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	8	0	67	0	0	321	0	0	0	32	0	0	0	0	0	0	0	0	0	22	0	0	0	0	1632	0	0	0	39	0	0	0	0	29	8	0	0	0	0	17	0	24	0	0	0	0	0	32	56	18	182	30	0	40	0	0
Brachybacterium sp. GU-2	3069708	S	94	539	155	390	170	38	427	394	271	0	0	0	0	1272	314	99	30	0	569	0	21	171	10	0	0	14	75	51	29	33	128	961	570	31	72	4158	80	53	0	169	40	0	72	0	13	96	165	167	14	343	134	212	43	0	105	9	20	0	268	120	0	104	0	232	168	0	33	0	144	47	73	11	0	17	9	0	0	108	84	0	1675	424	751	108	32	47
Dermabacter jinjuensis	1667168	S	28	226	0	0	61	0	0	48	29	48	0	0	0	15	11	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	191	237	0	54	0	0	0	0	0	0	0	0	0	0	0	2921	0	79	26	181	0	0	0	42	0	0	865	0	27	0	4156	329	2224	57	0	0	28	0	0	0	46	0	0	131	0	0	30	4658	0	577	0	29	332	0	15
Dermatophilus congolensis	1863	S	104	0	0	0	0	0	14	0	11	0	0	0	0	10	0	6	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	125	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	18	0	0	0	0	18	0	0	0	8	0	0	6	12	11	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
Gephyromycinifex aptenodytis	2716227	S	12	26	0	0	0	0	0	0	5	0	0	0	0	7	0	19	0	0	0	0	0	51	0	0	0	0	0	0	0	0	7	13	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9	7	0	37	105	5	0	0	9	0	6	8	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	42	10	9	0	0
Janibacter sp. CX7	2963431	S	29	222	43	35	23	10	112	54	34	33	112	0	0	19	50	0	85	0	270	0	0	0	23	0	0	0	33	33	0	17	19	32	115	0	0	0	34	22	0	108	0	18	0	0	0	0	40	0	0	290	34	0	33	0	55	0	8	0	0	0	41	104	55	55	58	0	0	0	0	0	0	0	10	0	0	0	40	18	0	26	0	0	89	86	333	0
Janibacter sp. YB324	2761047	S	14	237	0	98	86	39	228	273	125	0	0	0	0	27	44	86	0	0	187	0	0	0	0	0	0	0	0	0	0	15	31	69	0	0	31	280	37	24	0	107	0	0	56	0	0	33	0	0	0	116	110	0	17	0	64	0	0	0	0	0	0	0	0	52	101	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	194	0	0	34	0	0
Janibacter indicus	857417	S	46	1349	149	434	616	57	544	655	236	0	0	0	0	133	119	26	0	22	263	120	0	0	0	0	0	0	0	59	0	0	28	0	0	0	66	0	35	26	0	116	0	0	17	0	18	0	87	97	0	469	10	0	14	0	179	0	14	0	0	12	0	0	0	400	342	0	0	0	0	45	0	0	18	0	0	0	0	56	49	0	659	0	82	138	147	42
Janibacter limosus	53458	S	11	130	221	72	35	9	13	86	64	0	19	0	0	15	65	17	0	13	162	0	0	118	20	0	10	0	0	29	20	0	33	4668	0	18	0	280	13	42	0	81	29	0	0	0	0	0	84	0	0	185	15	54	23	26	139	0	0	0	0	12	0	298	0	36	38	0	31	0	0	10	16	0	0	0	0	16	9	0	0	0	327	177	196	53	128	0
Dermacoccus sp. PAMC28757	2762331	S	27	375	33	123	234	20	132	316	147	0	0	0	0	0	13	25	0	0	32	0	13	0	0	0	0	0	11	0	0	0	17	13	96	0	7	0	0	0	0	22	0	0	0	0	0	17	20	0	0	0	51	9	438	0	45	0	0	0	0	0	0	0	0	88	0	0	0	0	10	0	0	77	0	0	0	0	0	0	0	0	245	0	17	0	10	0
