name	taxonomy_id	taxonomy_lvl	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Caldisericum exile	693075	S	0	0	0	0	0	0	0	0	6	0	0	0	0	0	10	5	0	0	17	0	5	21	0	0	0	0	7	8	0	0	0	7	0	5	0	0	0	6	0	5	8	0	0	0	0	10	62	0	0	0	29	0	0	0	0	0	0	7	9	0	0	9	6	0	34	6	0	0	0	6	0	97	0	0	5	5	13	0	0	37	8	40	0	10	7	0
Purpureocillium takamizusanense	2060973	S	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	14	0	0	0	0	0	210	0	67	0	0	0	0	0	0	0	0	0	8	0	0	46	7	0	13	0	25	0	0	0	0	0	102	0	0	0	13	0	14	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	17	0	15	0
Pyricularia oryzae	318829	S	0	0	0	0	0	0	0	0	20	63	0	0	0	0	21	0	0	47	0	7	0	17	0	0	89	0	17	12	0	0	13	13	111	0	10	0	729	0	0	0	432	0	0	5	0	0	69	0	9	0	0	0	0	0	8	0	0	0	98	0	0	10	0	0	6	0	0	9	0	31	0	0	0	0	0	0	0	38	0	0	10	15	77	0	0	0
Pyricularia pennisetigena	1578925	S	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	25	0	0	0	0	0	92	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	54	0	0	0	0
Pyricularia grisea	148305	S	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	15	0	0	0	0	0	0	0	0	0	0	30	6	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0
Aspergillus nidulans	162425	S	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	10	0	0	0	36	0	0	0	0	23	16	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
Candida dubliniensis	42374	S	0	0	0	0	0	0	0	0	147	194	0	0	0	8	0	0	0	12	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	12	0	0	9	0	0	57	0	0	11	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candida albicans	5476	S	0	0	0	0	0	0	0	0	35	8671	0	86	0	0	0	0	0	2941	0	0	0	0	0	0	4517	0	0	0	269	358	0	0	0	0	14	62	0	0	0	0	10	0	20	20	0	0	0	0	0	0	42	390	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	645	0	3073	0	0	22	0	0	0	0	19	0	0	0
Kazachstania naganishii	588726	S	0	0	0	0	0	0	0	0	419	0	0	0	0	11	0	27	0	0	0	0	0	53	0	0	0	0	26	0	0	0	26	66	0	0	10	0	0	0	0	0	51	0	0	0	0	0	12	0	0	0	0	7	11	0	0	0	0	0	27	0	11	0	21	0	13	0	0	0	90	32	0	0	0	0	9	0	0	0	0	0	0	0	12	0	0	0
Lachancea thermotolerans	381046	S	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	35	0	0	12	0	0	13	0	0	22	0	0	0	0	0	0	0	0	0	161	0	0	0	0	10	9	0	0
Kluyveromyces marxianus	4911	S	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17083	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	19	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eremothecium sinecaudum	45286	S	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	119	0	0	0	144	0	0	0	0	0	0	0	0	0	0	511	51	93	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	36	0	0	26	0	0	0	0	0	0	87	90	123	23	0	0	37	0	138	27	0	0	0	0	0	0	0	21	0	81	103	217	0	0	0
Zygotorulaspora mrakii	42260	S	0	0	0	0	0	0	0	0	62	0	0	0	0	0	41	23	0	0	0	0	0	91	0	0	0	0	0	0	0	0	49	79	0	0	11	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	8	0	0	13	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	95	0	0	0	0	0
Nakaseomyces glabratus	5478	S	0	0	0	0	0	0	0	0	52	0	0	0	0	34	0	169	0	0	0	0	15	36	0	0	0	0	0	15	0	0	0	65	76	0	0	0	0	15	0	25	12	0	0	0	0	0	139	0	0	0	39	36	0	0	7	0	0	0	6	0	0	30	0	8	23	0	0	0	0	0	72	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
Torulaspora globosa	48254	S	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	19	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Yarrowia lipolytica	4952	S	0	0	0	0	0	0	0	0	41	0	0	0	0	27	0	59	12	28	0	0	0	475	0	0	0	0	0	28	0	0	23	55	0	0	43	0	0	0	26	33	60	0	0	5	0	0	49	0	0	35	56	0	0	6	0	0	0	0	1479	0	7	0	0	24	43	0	0	0	0	0	0	0	0	0	22	6	0	68	0	0	0	92	54	0	520	8
Komagataella phaffii	460519	S	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	58	0	0	0	0	0	0	0	26	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0
Puccinia triticina	208348	S	0	0	0	0	0	0	0	0	61	0	8	0	6	0	0	0	0	0	0	0	0	11	0	0	0	0	0	26	0	16	8	9	0	0	20	0	12	0	12	0	10	0	0	13	0	51	143	237	0	0	56	0	0	0	0	0	0	0	57	0	0	17	0	15	19	0	12	0	0	0	0	0	0	0	0	7	0	151	0	25	42	0	14	15	0	0
Theileria equi	5872	S	0	0	0	0	0	0	0	0	22	0	7	0	31	19	0	199	5	0	0	0	0	0	0	0	0	0	27	6	0	10	113	13	37	0	8	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	90	40	0	0	0	0	21	0	0	0	0	0	0	7	43	0	35	0	119	12	6	7	13
Theileria orientalis	68886	S	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	22	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	193	0	0	0	0	0	0	0	17	0	0	153	114	11	8	0	0
Plasmodium vivax	5855	S	0	0	0	0	0	0	0	0	345	0	0	0	0	23	11	25	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	18	0	0	0	0	0	0	65	0	21	0	0	24	64	0	0	0	0	0	0	0	0	0	0	7	0	13	0	20	0	467	15	0	0	0
Plasmodium malariae	5858	S	0	0	0	0	0	0	0	0	72	0	0	0	0	16	0	44	0	0	0	0	0	36	0	0	0	0	5	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	14	0	0	41	19	0	0	0	0	0	0	0	6	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	438	14	0	0	0
Plasmodium sp. gorilla clade G2	880535	S	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	16	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	29	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
Bigelowiella natans	227086	S	0	0	0	0	0	0	0	0	311	0	0	0	0	34	0	36	5	10	0	0	7	700	5	0	13	0	0	0	0	0	199	38	0	10	0	139	0	9	7	0	31	0	0	9	0	0	10	0	0	0	0	63	10	0	0	0	0	32	34	0	12	59	0	44	95	0	5	0	12	51	41	0	0	0	0	0	0	36	9	0	374	201	6	15	7	0
Hemiselmis andersenii	464988	S	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	6	0	0	10	0	173	0	0	0	0	15	0	0	0	10	0	0	0	0	0	62	0	8	0	0	0	0	0	0	0	85	0	0	0	0	13	0	0	11	0	0	51	20	0	0	19	0	44	33	0	0	444	0	8	18	0	0	0	0	0	0	27	0	0	26	81	68	0	0	15
Trypanosoma brucei	5691	S	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	1597	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	31	0	0	0	0	0	0	11	0	0	0	122	0	0	0	0
Haladaptatus halobius	2884875	S	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haladaptatus salinisoli	2884876	S	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natrinema zhouii	1710539	S	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natrinema halophilum	1699371	S	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natronococcus occultus	29288	S	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halovivax ruber	387341	S	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Halohasta litchfieldiae	1073996	S	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanofervidicoccus sp. A16	2607662	S	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pepper mild mottle virus	12239	S	0	0	0	0	0	0	0	0	8	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skunavirus sv56301	2845170	S	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pahexavirus pacnes201215	1982270	S	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus kloosii	29384	S	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytobacillus solani	1637975	S	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumebacillus algifaecis	1214604	S	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viridibacillus sp. JNUCC-6	2779527	S	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	926	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera massiliensis	1232428	S	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	9	0	0	0	0	0	14	0	0	0	29	194	0	0	1084	0	0	0	0	0	122	0	0	270	54	0	0	0	8	0	57	1257	0	0	0
Selenomonas timonae	2754044	S	0	0	0	0	0	0	0	0	0	16	0	0	0	20	0	18	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	83	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phascolarctobacterium sp. Marseille-Q4147	2823317	S	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	20	0	0	0	0	0	9	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	0	0	0	0	0	0	7	0	0	1213	0	0	0	89	282	0	0	0	25	0	0	258	0	79	0	0	191	262	0	109	19	75	0	0	164	0	0	0
Phascolarctobacterium succinatutens	626940	S	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0
Helcococcus kunzii	40091	S	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	6	0	0	91	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus sp. SR1/5	657323	S	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Monoglobus pectinilyticus	1981510	S	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	7	17	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	5	0	0	193	0	0	98	0	0	8	0	9	0	0	158	0	0	0	37	17	0	0	0	12	0	42	67	0	43	0	0	18	140	0	74	0	134	132	0	45	0	0	0
Qiania dongpingensis	2763669	S	0	0	0	0	0	0	0	0	0	496	0	0	0	0	71	0	0	25	0	0	0	11	0	0	31	15	110	0	11	0	51	0	0	0	0	18	0	0	0	0	0	0	0	37	0	0	1609	0	0	0	7	0	0	14	35	0	0	1483	0	0	7	725	93	12	0	0	42	0	75	825	0	253	0	0	115	428	0	260	0	456	399	0	292	0	0	0
Anaerocolumna cellulosilytica	433286	S	0	0	0	0	0	0	0	0	0	223	0	0	0	0	53	0	0	9	0	0	0	19	0	0	15	0	33	0	9	0	28	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	723	0	0	0	38	0	0	6	20	0	0	849	0	0	0	440	30	0	0	0	23	0	30	451	0	143	0	0	35	287	0	235	0	149	181	0	144	0	0	0
Chordicoccus furentiruminis	2709410	S	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0	0	36	0	0	0	11	0	0	0	8	0	0	0	0	0	5	0	13	14	0	0	507	0	0	0	32	6	0	0	0	0	0	392	0	0	0	517	14	20	0	0	19	0	19	319	0	69	0	0	60	159	0	230	0	142	313	0	87	0	0	0
Lachnoanaerobaculum umeaense	617123	S	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	12	10	0	0	23	0	0	0	0	0	0	0	0	0	16	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	95	0	0	0	12	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbinix luporum	1679721	S	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	53	0	0	5	0	0	0	0	0	0	0	10	5	8	17	0	7	0	12	0	0	377	0	0	0	22	0	12	0	0	0	0	116	0	0	0
Clostridium sp. SY8519	1042156	S	0	0	0	0	0	0	0	0	0	91	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	403	0	0	0	13	0	0	26	0	0	0	750	0	0	0	505	47	0	0	15	24	9	12	315	0	760	0	0	52	211	0	21	0	95	278	0	58	0	0	6
Clostridium bornimense	1216932	S	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	127	0	0	0	0	53	0	0	0	0	0	0	0	0	591	0	0	5	11	0	194	7	0	0	0	0	0	0	0	0	0	27	0	0	0	0	15	0	0	0	0	0	0	0	0	88	0	0	13	8	55	7	0	62	0	0	9	14	0	0
Caloramator sp. E03	2576307	S	0	0	0	0	0	0	0	0	0	1429	0	0	0	0	39	0	0	26	0	0	0	0	0	0	48	0	14	0	14	0	57	8	0	0	0	0	0	0	0	0	0	0	0	15	0	0	602	0	0	83	59	0	0	0	0	0	0	1495	0	0	0	1198	91	0	13	0	38	0	25	536	0	146	0	0	118	345	0	249	0	232	349	0	224	0	0	0
Alkaliphilus oremlandii	461876	S	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium ventriosum	39496	S	0	0	0	0	0	0	0	0	0	1946	0	0	0	0	182	0	55	0	0	0	0	0	0	0	0	7	120	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	2219	0	0	0	79	0	0	133	12	0	0	12122	73	0	0	2311	913	14	0	0	661	0	123	1726	0	610	0	0	961	2015	0	1002	0	623	1309	0	889	0	0	0
Mogibacterium neglectum	114528	S	0	0	0	0	0	0	0	0	0	121	0	0	0	15	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	7	65	0	0	0	0	0	0	0	0	0	53	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Desulforudis audaxviator	471827	S	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	57	0	0	0	0	12	0	0	0	0	0	0	0	11	24	0	0	0	0	0	0	0	0	0	0
Dehalobacterium formicoaceticum	51515	S	0	0	0	0	0	0	0	0	0	11	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	139	0	0	30	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	22	0	0	0	0	0	77	0	0	0	0	0	0	0	15	26	0	0	174	0	0	0	0
Dehalobacter restrictus	55583	S	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	11	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	7	0	0	187	0	0	79	8	0	0	0	0	0	0	34	0	0	0
Amycolatopsis sp. CA-230715	2745196	S	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	28	246	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Eggerthella guodeyinii	2690837	S	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	236	0	0	0	30	73	0	0	0	14	0	0	49	0	91	0	0	0	72	0	166	0	6	0	0	0	0	0	0
Spiroplasma ixodetis	2141	S	0	0	0	0	0	0	0	0	0	35	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	0	0	22	26	0	18	33	0	0	23	0	0	0	0	0	0	0	0	0	77	16	57	0	0	0	0	0	0	0	0	16951	32	0	11	0	0	0	0	0	0	0	0	0	6	0	26	0	42	0	0	27	51	0	0	0
Williamsoniiplasma luminosum	214888	S	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. IHB B 17019	1721091	S	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elizabethkingia sp. 2-6	2575699	S	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0
Flavobacterium alkalisoli	2602769	S	0	0	0	0	0	0	0	0	0	9	0	0	0	17	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	9	0	7	0	0	0	0	0	0	0	0
Constantimarinum furrinae	2562285	S	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
