H_TT1	H_TT2	H_TT3	H_TT5	H_TT7	H_TT11	H_TT12	H_TT16	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81	H_BP1	H_BP4	H_BP5	H_BP7
Corynebacterium accolens	46	145	0	115	225	0	252	2857	94	740	6	76	827	208	125	30	0	8	111	423	4504	389	353	919	74	46	381	665	127	364
Corynebacterium matruchotii	17	62	32	17	64	7	101	331	37	62	26	105	90	6	30	59	20	10	99	16	5499	253	125	147	19	133	22	1510	104	190
Corynebacterium singulare	0	64	254	469	25	171	33	252	0	11	0	11	35	0	0	0	11	0	10	0	28	67	37	203	0	0	0	12	39	17
Corynebacterium minutissimum	8	14	38	70	0	20	17	133	26	117	0	0	125	0	0	309	0	0	13	0	108	0	344	1080	6	14	44	0	0	0
Corynebacterium simulans	19	319	10	0	0	0	783	101	8856	908	5	323	49	0	0	463	0	0	17	0	642	0	865	1548	12	0	0	11	0	5005
Corynebacterium ihumii	0	45	9	81	0	47	0	48	0	0	0	29	0	0	0	0	0	0	13	0	137	47	0	0	0	10	0	0	0	290
Corynebacterium durum	30	39	9	10	0	27	226	484	25	59	20	122	149	0	0	7	8	6	56	11	171	124	98	227	15	87	135	69	44	282
Corynebacterium genitalium	10	0	36	44	53	21	37	3114	0	104	0	16	0	9	0	0	0	0	10	0	41	0	19	27	0	0	9	0	19	43
Corynebacterium glaucum	0	0	0	0	0	0	705	806	0	50	0	130	0	0	0	0	47	0	31	0	237	88	95	3967	0	0	0	0	11	906
Corynebacterium urealyticum	11	8	0	0	0	0	581	20	64	129	0	110	0	7	0	305	530	16	224	0	2963	12	12	0	0	7	0	0	0	1891
Corynebacterium glucuronolyticum	22	18	87	80	0	178	14937	65	8790	3015	13	1991	1273	247	151	13920	21937	1496	6830	60	94717	1941	61	366	56	532	185	124	112	75486
Corynebacterium coyleae	0	8	0	0	0	0	7308	132	0	167	0	0	0	0	0	14	42	0	71	0	7472	14	13	687	22	0	0	0	0	722
Corynebacterium stationis	0	0	0	0	0	0	74	46	497	73	0	43	0	0	0	204	345	29	554	0	1105	74	26	45	0	0	0	0	0	1954
Corynebacterium hadale	0	0	13	39	112	21	31	1108	55	71	0	16	0	0	0	92	78	0	46	0	901	8	0	936	10	0	0	37	0	1665
Corynebacterium diphtheriae	0	1038	1006	939	0	535	35095	8601	25689	0	913	3192	0	0	0	4737	311	2151	6850	511	5882	1136	7128	1023	29	5172	453	0	9	14883
Corynebacterium propinquum	60	19	5	0	0	0	16	46	0	30	0	0	41	0	0	7	0	0	5	0	150	32	60	494	16	0	13	21	0	37
Corynebacterium fournieri	0	0	0	0	0	6	130	969	12	78	0	0	0	0	0	0	0	0	102	0	81	0	20	13	0	0	0	0	0	953
Corynebacterium gottingense	0	23	35	14	0	50	0	384	0	0	0	0	0	0	0	0	0	0	0	0	1374	26	21	87	0	35	0	0	0	194
Mycobacterium tuberculosis	676	1168	903	578	523	1322	21829	3108	463	421	244	1000	646	124	75	826	713	2632	1768	282	3978	5587	3053	4400	667	0	1115	0	0	6856
Lawsonella clevelandensis	197	919	551	242	7	930	1790	2981	15257	487	99	951	993	340	27	25136	5046	282	5274	270	61141	4445	11004	361	96	319	500	518	706	9071
Streptomyces sp. T12	870	742	105	38629	129	1232	5687	14736	965	6451	3107	18987	451	189	108	136	95	110	2758	1401	1332	9169	3344	553	569	1129	345	308	1199	917
Streptomyces sp. HUAS CX7	0	69	91	276	130	81	296	189	0	21	19	87	0	0	0	63	101	274	225	12	932	189	80	53	65	0	147	0	0	708
Actinomyces sp. oral taxon 169	0	0	0	0	0	34	0	194	0	26	48	277	52	0	33	0	89	0	168	32	241	36	73	24	0	88	95	0	91	127
Actinomyces sp. HMT 175	0	0	0	0	0	0	0	226	0	0	67	195	0	0	0	0	0	0	89	0	320	215	46	0	0	181	0	92	32	0
Actinomyces oris	74	135	45	156	0	120	4163	1559	131	249	177	1139	0	85	43	44	155	34	558	49	394	823	270	110	70	534	68	271	116	879
Schaalia odontolytica	45	82	9	31	6	24	17	283	0	21	112	119	22	9	7	29	68	0	190	19	350	231	318	33	36	325	16	0	29	269
Gardnerella swidsinskii	226624	3621	54525	0	0	0	434	148	9725	5898	664	144	292920	82	4267	267	473	0	0	870	3104	498	0	71	12	0	52125	56	75	0
Gardnerella leopoldii	26991	296	1995	0	0	0	993	0	253	183	107060	153	8549	0	92	32	127	0	160	158	0	25174	0	0	0	0	5326	0	0	0
Gardnerella vaginalis	93017	29	62937	2192	0	0	16714	801	21650	6079	950200	225781	93818	60	2369	180	230	98	73	29	919	659	384	0	112	1085	29174	0	48	30
Blastococcus sp. PRF04-17	0	0	0	0	0	0	0	340	0	12	0	25	0	0	0	0	0	86	228	0	0	359	0	0	28	11	0	0	0	140
Blastococcus saxobsidens	48	0	0	0	0	37	0	405	0	0	34	0	41	0	0	0	15	582	275	0	0	644	0	0	61	0	0	53	47	0
Thermomonospora amylolytica	0	49	6	22	0	8	20	32	58	0	0	0	0	0	0	69	28	0	55	0	380	34	52	28	0	0	8	25	33	133
Nakamurella multipartita	13	9	0	0	0	19	2247	64	0	0	0	68	0	0	0	98	73	0	37	0	0	119	0	23	0	15	0	0	0	15
Arabiibacter massiliensis	0	0	104	0	0	0	79	0	24	0	0	78	0	0	0	44	158	0	172	10	0	0	22	0	0	0	0	0	0	28
Eggerthella lenta	0	15	56	40	0	7	293	77	22	0	0	121	0	0	0	11	35	92	19	32	112	62	16	106	14	0	0	0	0	36
Iamia majanohamensis	0	0	0	0	0	0	0	0	0	0	0	27	20	0	0	0	0	0	0	0	132	109	17	32	0	0	0	0	0	0
Aquihabitans sp. G128	22	26	7	0	0	14	0	71	16	0	0	21	18	0	0	17	117	0	56	0	10	1072	33	13	19	12	0	0	8	0
Mycoplasma mycoides	55	59	0	212	0	0	6	18	0	0	0	8	9	9	0	0	0	0	48	11	25	25	84	7	32	51	0	29	110	153
Mycoplasma capricolum	0	18	109	51	288	46	2758	154	33	0	0	100	15	0	0	69	47	219	127	21	113	157	29	116	105	0	27	0	0	195
Mycoplasmopsis felis	0	101	12	28	98	161	90	41	9	0	0	82	0	0	7	7	20	192	112	18	362	342	166	49	8	24	23	0	0	291
Mycoplasmoides fastidiosum	0	17	14	56	0	44	101	18	5	0	0	72	0	0	0	0	14	90	59	0	71	15	43	92	15	0	0	0	0	68
Crinalium epipsammum	9	70	23	82	49	41	0	24	0	0	0	40	0	0	11	0	79	185	100	33	314	238	69	29	20	15	23	0	0	182
Planktothrix agardhii	0	388	151	167	31	156	1927	496	126	36	0	592	0	0	0	165	809	286	422	66	2376	1068	97	229	193	0	152	0	0	285
Gloeocapsa sp. PCC 7428	11	8	0	0	0	6	37	40	0	0	0	20	0	0	11	8	386	0	30	0	529	426	0	20	0	6	0	0	0	88
Enterobacter asburiae	28	46	83	95	24	94	1025	262	42	77	36	243	30	21	14	173	50	93	117	0	1240	225	91	171	193	0	103	0	70	172
Enterobacter ludwigii	36	31	0	258	0	31	79	63	15	0	0	95	170	0	0	119	18	25	103	0	90	175	97	46	17	48	0	0	35	36
Enterobacter bugandensis	18	51	58	25	166	97	2948	84	35	11	11	92	0	24	7	44	56	102	99	36	145	145	79	46	79	0	84	0	12	87
Salmonella enterica	22217	20432	9682	26501	4805	18854	113901	21543	10895	3093	1654	54139	9506	2798	1063	30539	9723	13971	55036	1340	35302	32697	59448	19751	17159	10622	6059	3763	6627	25082
Salmonella bongori	0	4686	25409	18065	0	11876	114659	12266	0	0	0	15274	0	0	1924	15803	4088	11942	9262	0	6843	9352	9323	11276	33834	0	5578	0	0	11298
Shigella flexneri	1378	1388	508	1710	165	378	3247	768	167	0	0	3004	299	210	47	990	150	367	752	104	778	715	2429	186	436	771	0	0	2592	2044
Shigella boydii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	449	0
Citrobacter freundii	26	43	0	35	0	0	0	28	0	0	106	0	0	20	0	0	13	0	174	31	81	82	142	0	0	0	0	86	66	75
Citrobacter sp. S171	15	16	85	24	0	13	145	31	0	22	0	76	0	0	0	42	26	33	51	8	17	54	25	17	87	0	5	0	0	57
Pantoea agglomerans	204	242	0	16	105	0	33	40	7	11	28	52	0	14	9	0	27	0	1168	15	140	112	906	26	0	7	0	35	137	163
Pantoea sp. Lij88	77	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea sp. SM3640	90	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea alfalfae	88	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea piersonii	19	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	58
Serratia sp. CMO1	36	145	55	45	0	87	432	349	75	0	0	245	39	59	56	178	63	105	167	0	139	178	79	125	121	37	0	0	0	64
Acinetobacter pittii	71	232	1091	300	18	276	379	630	76	46	24	508	153	112	53	211	415	472	3629	103	448	520	4240	194	2499	223	186	38	217	4649
Acinetobacter lwoffii	243	146	31	1707	13	285	22	89	109	84	46	48	608	56	38	12	19	8	386	43	1056	82	864	43	61	437	40	94	795	1849
Acinetobacter sp. KCTC 92772	6	22	5	5	0	0	94	0	15	0	12	0	0	0	0	0	0	0	0	21	0	39	0	0	14	10	28	27	11	10
Acinetobacter sp. SCLZS86	101	23	23	0	0	0	108	15	9	91	0	0	0	0	0	0	0	16	0	0	0	93	67	21	0	0	0	0	0	73
Acinetobacter sp. WY4	0	0	12	76	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	106	721
Acinetobacter sp. NEB 394	45	23	0	48	0	70	0	0	20	0	13	0	0	0	0	0	0	0	100	0	0	0	209	0	0	32	41	0	0	571
Acinetobacter towneri	142	12	35	86	0	16	109	56	15	70	0	50	28	0	0	0	0	10	0	22	0	156	127	43	24	0	0	0	39	67
Acinetobacter ursingii	166	86	0	73	10	0	12	44	10	13	40	61	181	21	0	0	11	15	40	10	706	58	270	0	0	0	0	37	0	186
Acinetobacter junii	60	58	0	18	0	46	28	36	17	68	0	0	0	0	0	0	0	0	0	0	567	113	55	33	0	16	0	0	22	45
Acinetobacter radioresistens	0	13	0	53	0	0	7	58	0	7	0	0	0	0	0	0	0	0	18	0	155	0	10	52	0	0	0	0	8	0
Acinetobacter variabilis	0	0	0	18	0	0	0	49	23	74	0	16	0	0	0	0	0	0	0	0	121	18	137	0	0	0	0	0	0	167
Psychrobacter sp. van23A	12	0	13	0	0	88	32	85	20	0	10	77	0	0	0	185	0	0	41	29	184	20	0	0	0	268	136	44	0	0
Pseudomonas sp. CBS	0	26	7	13	93	0	10	0	36	0	7	0	0	0	0	21	0	0	0	0	0	67	14	0	56	11	0	0	58	61
Pseudomonas sp. BIOMIG1BAC	0	0	0	214	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	69	0	0	66	14	0	0	76	35	0
Pseudomonas aeruginosa	378	180	1203	150	0	312	720	9816	283	4030	77	764	1168	107	191	254	581	240	25643	146	1297	1991	962	574	565	270	136	0	43	4297
Pseudomonas oleovorans	40	97	0	0	92	245	16	60	0	46	28	55	0	36	77	0	0	0	184	23	0	312	24	0	25	33	61	0	104	97
Pseudomonas oryzihabitans	0	0	0	0	14	0	0	0	0	0	6	227	6	0	0	0	0	0	20	15	354	49	7	19	15	0	0	15	39	0
Pseudomonas putida	36	77	8	33	0	40	0	82	34	26	57	58	727	20	0	0	0	22	2441	12	4478	2324	219	379	304	116	427	1224	301	476
Pseudomonas psychrotolerans	0	0	7	0	19	0	0	22	0	0	0	34	21	0	0	0	0	0	81	0	107	0	0	10	0	16	0	16	0	0
Pseudomonas fluorescens	9	27	8	219	0	0	47	28	0	0	0	14	0	20	15	12	11	6	44	0	182	21	11	0	57	0	0	37	18	17
Pseudomonas fragi	0	0	0	32	0	0	18	106	0	35	26	62	0	0	0	0	0	0	47	6	0	31	16	0	15	12	0	44	25	48
Stutzerimonas stutzeri	0	41	11	76	0	0	38	91	106	46	230	137	56	39	79	13	31	63	61	75	1428	541	154	206	254	31	174	384	63	103
Stenotrophomonas maltophilia	1959	1189	129	57715	292	1268	4532	14889	1034	10440	4952	36633	1050	260	263	2494	111	150	12690	880	3989	9362	7601	1014	6064	1151	592	1067	681	2666
Stenotrophomonas sp. 59	0	0	0	295	20	0	0	23	0	7	0	0	0	21	45	0	0	0	124	0	0	19	81	9	0	51	0	0	96	161
Stenotrophomonas sp. BIO128-Bstrain	0	0	0	0	0	0	0	0	0	16	0	14	0	0	0	8	0	0	178	0	648	10	0	63	0	0	39	72	0	0
Stenotrophomonas pavanii	13	34	54	10	12	22	439	59	6	0	0	58	0	15	0	21	28	59	90	0	76	39	12	26	163	0	31	0	0	90
Xanthomonas campestris	263	0	6	36	144	0	23	84	58	59	103	43	64	22	14	36	6	21	218	43	511	407	14	12	0	18	32	33	60	111
Xanthomonas albilineans	41	68	37	494	22	69	186	375	14	126	134	511	57	7	5	11	13	33	782	30	199	158	75	57	43	25	8	89	26	91
Pseudoxanthomonas mexicana	91	0	0	0	0	0	0	0	0	459	0	0	8	0	0	0	0	0	34	0	0	90	46	14	0	0	0	26	26	76
Pseudoxanthomonas suwonensis	20	51	0	0	12	33	0	37	0	21	0	17	38	0	0	0	0	0	26	0	126	58	30	0	0	0	0	11	10	13
Ahniella affigens	0	0	0	105	0	0	7	0	24	0	0	0	0	0	0	246	291	32	51	133	0	128	5	697	0	10	0	0	0	13
Aeromonas salmonicida	31	20	54	15	0	69	196	175	19	23	14	118	23	37	12	88	49	48	65	24	187	94	62	78	73	9	41	0	16	97
Aeromonas caviae	0	0	7	50	0	0	149	100	0	0	0	28	69	0	0	0	0	34	40	0	0	0	47	0	49	51	35	0	0	101
Rheinheimera sp. MM224	20	36	29	55	0	64	102	168	22	43	0	69	117	72	0	0	58	38	45	0	64	57	105	199	0	0	0	215	98	0
Rheinheimera mangrovi	24	0	0	88	0	50	0	100	0	18	0	22	0	25	0	0	66	24	0	19	0	196	128	0	0	79	0	144	0	158
Haemophilus parainfluenzae	165	141	11	149	0	46	22	342	2219	73	20	155	209	33	42	107	9	12	156	81	637	313	93	59	30	70	56	179	128	362
Pasteurella multocida	756	1397	14	4082	0	1073	3250	16991	1389	8721	2030	49114	103	105	118	388	228	131	5520	452	1570	4509	3443	201	121	367	174	278	411	780
Shewanella baltica	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	211	0	0	66	0	0	261	50	0	0	0	0	0	0	0
Piscirickettsia salmonis	17	53	94	52	120	60	2148	193	82	21	6	148	46	29	7	85	80	187	118	29	167	229	64	44	119	6	55	5	0	135
Vibrio cholerae	0	0	9	0	0	7	121	70	6	0	0	29	0	0	0	49	44	0	45	0	6	58	103	0	57	0	0	0	0	388
Vibrio anguillarum	11532	3563	0	0	0	48	45	157	6	0	20	125	36	7	0	1161	58	0	734	96	253	239	39	470	0	20	0	20	13	140
Achromobacter xylosoxidans	0	40	0	186	25	47	48	295	100	285	0	0	74	340	541	19	0	32	1061	27	689	882	1605	143	88	782	41	32	560	1847
Achromobacter spanius	13	0	0	12	0	0	0	112	0	41	0	0	0	55	78	0	25	0	236	0	0	12	227	0	0	77	26	70	162	335
Achromobacter sp. MFA1 R4	0	0	0	0	10	0	0	0	29	0	0	0	0	22	29	0	0	0	88	25	0	26	104	13	0	59	0	0	19	80
Delftia lacustris	0	0	49	325	173	281	0	231	0	195	0	133	275	283	470	0	0	0	2345	0	0	936	807	0	105	480	0	0	99	1107
Delftia acidovorans	91	23	0	253	61	51	116	516	164	411	269	301	108	440	447	79	452	122	1801	517	611	1399	692	100	68	511	130	0	775	3098
Delftia sp. Cs1-4	0	0	0	0	25	0	42	0	0	46	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	127	49	438
Acidovorax sp. KKS102	0	11	0	0	0	32	24	107	0	0	0	0	171	74	0	0	128	33	161	0	533	400	48	0	31	0	0	0	0	0
Acidovorax temperans	117	30	21	0	0	168	148	46	0	0	0	0	102	0	0	0	0	54	120	55	0	0	62	171	0	32	0	75	63	85
Massilia sp. NP310	51	129	150	1070	0	54	44	655	0	0	259	103	182	38	15	0	0	112	3005	0	2119	467	9396	830	112	80	310	211	62	403
Massilia sp. WG5	41	89	0	29	0	13	89	54	0	32	0	44	0	0	0	27	0	52	2089	0	351	441	510	84	22	17	0	0	0	101
Massilia sp. H6	20	0	0	10	0	21	0	165	15	0	28	13	0	0	0	0	0	0	316	23	173	156	1284	53	0	0	0	12	24	0
Massilia sp. LPB0304	0	0	0	17	0	0	0	102	10	0	0	37	157	0	0	0	0	0	201	0	135	0	99	28	87	0	56	0	23	21
Massilia oculi	58	101	0	32	0	0	22	170	0	67	298	92	47	0	0	0	0	0	2134	0	368	342	10026	138	52	78	0	92	39	157
Undibacterium sp. 20NA77.5	35	0	42	0	0	44	54	168	0	23	0	0	0	15	15	16	26	70	0	0	65	22	0	15	108	0	0	0	20	265
Undibacterium parvum	14	5	5	0	0	22	0	91	0	0	0	0	0	8	5	16	9	16	0	0	0	27	0	0	0	0	0	0	0	9
Janthinobacterium sp. J1-1	0	29	56	13	0	44	102	172	11	0	0	46	0	11	9	0	74	26	0	0	31	64	50	27	109	23	0	54	12	27
Janthinobacterium sp. PAMC25594	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	64	0	0	0	0	0	0
Neisseria elongata	37	40	15	17	69	0	0	321	17	12	0	169	39	30	0	11	111	36	45	0	328	45	85	107	49	24	59	35	19	31
Neisseria sp. oral taxon 014	0	30	6	55	0	0	55	45	0	13	0	0	0	0	0	0	0	0	25	0	27	0	96	0	0	78	0	0	19	40
Neisseria sicca	0	169	24	196	0	123	0	784	59	0	33	526	107	0	0	42	0	0	87	196	0	163	183	0	0	170	344	43	47	275
Neisseria gonorrhoeae	157	107	31	147	0	0	107	742	153	0	0	824	87	0	0	299	3575	197	50	1102	174	79	435	10305	50	0	132	0	0	185
Morococcus cerebrosus	0	0	40	463	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	169
Methylophilus medardicus	0	11	136	0	0	0	18	115	0	0	0	8	0	0	40	0	179	19	0	19	0	110	0	121	37	0	0	0	0	0
Paracoccus sp. S3-43	114	63	75	34	0	38	0	350	0	23	0	820	0	0	0	0	24	0	193	0	615	392	0	0	0	41	43	0	30	78
Paracoccus sp. MC1862	244	142	0	62	0	22	13	504	30	39	13	774	0	10	8	0	29	0	250	26	592	407	130	163	0	33	8	13	41	137
Paracoccus sp. SCSIO 75233	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	119	164	0	0	0	0	0	0	46
Paracoccus sp. M09	0	0	0	17	0	0	0	178	0	0	0	108	0	0	0	0	22	0	0	0	334	14	0	59	0	0	0	0	0	20
Paracoccus yeei	1100	510	155	553	87	231	104	987	303	665	400	2044	431	30	79	0	196	47	990	179	688	2624	380	557	156	446	215	336	759	560
Paracoccus marcusii	217	45	210	215	28	130	173	422	137	161	118	267	502	58	41	48	0	60	319	143	620	972	103	105	0	0	108	0	276	322
Paracoccus aestuarii	22	0	0	0	8	29	0	40	0	0	0	116	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Paracoccus contaminans	154	233	0	12	10	0	210	364	29	79	18	2379	71	10	0	0	0	14	172	0	285	53	65	53	21	0	19	56	0	0
Paracoccus everestensis	0	0	0	0	0	0	134	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	118	0	44	0	0	0	87	31
Paracoccus sanguinis	290	43	0	0	11	0	65	268	43	30	25	1711	0	0	0	12	0	0	48	23	726	206	0	93	15	0	0	37	65	15
Paracoccus aerodenitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0
Frigidibacter mobilis	0	55	0	0	0	0	0	212	73	0	0	0	1164	0	0	0	0	0	0	33	0	187	0	56	0	0	57	0	0	0
Rhodobacter capsulatus	92	18	0	0	0	0	20	127	0	20	0	0	0	0	0	0	0	0	91	0	138	234	38	0	18	21	0	0	40	37
Algicella marina	111	16	0	0	0	0	12	236	0	72	0	65	0	0	0	0	0	0	43	0	24	0	52	12	0	21	11	25	24	0
Agrobacterium tumefaciens	130	0	46	24	0	50	0	52	0	0	10	21	209	94	86	0	37	0	565	0	350	73	0	0	0	0	0	41	53	13
Agrobacterium pusense	0	0	0	16	0	25	0	77	24	0	0	111	119	20	0	0	0	0	0	27	232	114	67	55	121	0	99	98	91	205
Rhizobium sp. WL3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	34	0	0	0	0	0	0	0	15
Shinella sp. HZN7	0	0	0	0	69	0	0	0	11	70	0	97	0	0	0	0	0	0	375	0	0	0	0	0	0	0	49	0	31	0
[Ochrobactrum] quorumnocens	0	46	6	45	42	0	0	0	7	79	25	12	0	9	0	0	0	0	52	7	54	0	24	0	0	27	0	0	19	0
Brucella anthropi	94	77	124	91	0	107	43	34	8	0	56	314	116	0	0	84	51	64	110	18	2087	147	70	164	75	126	198	170	33	183
Methylobacterium indicum	0	0	0	0	0	0	48	105	0	0	0	220	486	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
Methylorubrum extorquens	0	0	0	0	12	18	0	104	0	0	0	0	127	0	0	0	0	0	0	0	121	0	0	0	83	0	0	11	0	65
Brevundimonas nasdae	0	75	90	779	127	47	0	396	93	370	208	314	269	2038	1959	0	32	60	1103	187	50	516	325	18	7	176	182	109	140	518
Brevundimonas sp.	40	0	0	0	0	0	124	0	91	30	0	0	0	33	16	0	0	0	176	0	71	69	0	15	15	12	0	0	36	48
Brevundimonas sp. PAMC22021	232	0	454	14	15	0	0	69	0	69	35	3445	479	0	6	0	0	36	119	0	244	101	0	139	25	0	0	55	0	36
Brevundimonas sp. C43	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	70	14	0	0	0	0	0
Brevundimonas diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10	0	0	0	709	0	252	135	172	47	0	50	0	0	43	262
Brevundimonas albigilva	240	0	193	11	0	156	114	423	0	24	87	1205	559	76	0	79	34	0	1305	40	96	441	0	69	24	0	151	91	46	83
Brevundimonas vesicularis	0	0	0	40	0	0	0	0	0	0	0	0	0	68	52	0	0	0	0	0	0	127	150	0	45	0	0	0	50	25
Caulobacter segnis	0	0	48	0	0	0	0	0	0	86	0	0	48	103	116	0	0	0	542	11	181	0	38	0	21	20	0	0	8	0
Sphingomonas sp. PAMC26645	0	53	0	31	0	0	0	0	0	15	0	0	27	0	0	0	0	0	0	0	384	73	38	0	0	24	0	0	26	0
Sphingomonas sp. MM-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	162	554	0	0	62	0	0	44	0	0
Sphingomonas hankookensis	0	83	18	0	0	0	0	252	0	45	0	57	387	0	0	0	0	0	134	0	657	390	213	42	0	44	0	0	0	88
Sphingomonas naphthae	89	72	0	0	0	0	0	132	0	0	0	0	241	0	0	0	0	0	364	0	1510	202	0	37	80	0	0	114	0	0
Sphingobium xenophagum	0	91	0	0	0	0	118	102	0	398	0	0	0	0	0	0	0	0	389	0	1514	0	0	371	82	0	117	223	0	0
Altererythrobacter sp. TH136	23	92	0	0	0	0	0	590	0	0	0	18	0	0	0	0	0	0	0	0	578	74	0	11	0	0	0	0	0	0
Sphingosinicella flava	19	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	95	0	27	0	0	0	0	0	0	0	0	0
Roseomonas mucosa	0	429	0	0	0	0	0	164	0	0	0	72	4425	251	0	0	0	314	162	0	2095	0	0	132	0	56	79	59	0	0
Roseomonas sp. OT10	0	0	0	0	0	12	0	50	599	0	0	21	4755	0	0	0	0	10	0	0	0	164	47	8	0	12	0	0	0	0
Niveispirillum cyanobacteriorum	0	0	0	8	38	0	0	165	15	16	23	40	0	0	0	0	0	0	31	0	0	0	0	0	0	0	23	0	0	86
Porphyromonas asaccharolytica	0	0	2280	0	14	0	2056	0	9	56	0	1319	0	0	0	178	1332	22	22	12	583	0	718	0	0	0	0	62	0	76
Porphyromonas somerae	0	0	13	51	0	13	7137	10	0	17	0	43	24	0	0	31	393	0	107	7	8231	0	526	683	0	8	0	22	0	107
Porphyromonas endodontalis	0	7	29	0	0	0	139	140	24	22	0	0	17	0	0	9	33	0	5	0	265	0	83	0	0	15	0	27	21	60
Porphyromonas gingivalis	20	0	26	0	7	14	57	50	121	0	0	91	170	0	0	384	69	24	15	9	273	42	16	136	0	10	51	0	0	24
Porphyromonas sp. oral taxon 275	9	13	8	15	0	31	81	165	171	26	12	46	29	0	8	16	248	0	176	9	299	86	92	0	0	57	47	0	0	53
Phocaeicola dorei	0	23	0	0	0	25	70	17	0	0	28	0	0	10	0	9	72	9	73	0	19	59	81	0	0	0	0	0	6	0
Phocaeicola vulgatus	0	40	27	8	0	26	280	30	36	0	0	182	30	16	0	27	0	0	96	0	548	0	146	47	30	0	0	41	0	0
Phocaeicola salanitronis	0	0	35	0	0	20	164	13	25	0	0	137	0	0	10	14	244	10	38	0	133	43	84	0	0	0	0	0	9	30
Prevotella intermedia	26	20	1767	0	142	0	6798	85	614	52	92	21728	981	14	7	403	21615	0	4570	350	11811	1106	4215	45	0	31	2439	0	17	215
Prevotella bivia	99	9	16111	1315	145	104	443330	196	255844	1696	1656	120190	151663	6963	90	288532	276625	223	1079722	12167	116025	91646	4889	273	49	2356	16388	24	378	109975
Prevotella dentalis	0	0	0	0	0	0	131	14	20	33	0	112	19	0	0	143	406	0	40	13	1300	14	177	0	0	23	0	24	0	22
Prevotella communis	0	0	5	0	0	0	936	0	180	0	0	1031	0	0	0	87	2545	0	15	194	3813	0	1181	0	0	0	0	0	0	94
Hoylesella buccalis	17	23	807	8	139	39	35725	89	11186	42	449	20342	958	62	32	10841	83965	26	2994	3528	99041	382	28120	383	6	14	823	35	10	4517
Segatella copri	18	25	19	0	0	6	60	89	10	0	0	38	107	0	24	7	93	0	31	0	38	158	61	0	0	7	25	20	29	12
Epilithonimonas vandammei	173	146	132	266	0	249	416	1174	256	427	103	704	535	181	66	63	228	145	348	78	1036	1241	337	311	177	131	159	274	462	1047
Chryseobacterium manosquense	0	24	0	18	0	0	51	0	0	0	0	19	102	0	0	0	0	0	0	0	0	146	0	22	0	0	0	0	0	0
Cloacibacterium normanense	60	58	0	20	0	112	45	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	180	42	0	0	100	27
Flavobacterium sp. K5-23	10	11	49	11	0	39	82	71	0	0	0	21	7	0	0	14	36	15	40	0	26	87	41	0	68	0	0	0	0	49
Formosa agariphila	14	11	99	0	22	50	537	734	138	34	6	585	0	18	0	575	153	85	437	39	41	82	120	21	63	14	0	45	0	121
Candidatus Karelsulcia muelleri	0	34	125	32	68	100	1136	199	39	36	5	106	64	21	7	70	79	84	97	15	70	74	143	30	232	6	12	0	14	78
Sphingobacterium multivorum	0	0	0	0	0	0	0	0	0	0	13	0	236	0	7	0	45	0	386	0	0	230	48	0	0	0	0	0	0	53
Pedobacter sp. D749	0	0	0	0	0	0	0	0	0	0	0	0	0	82	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
