H_TT1	H_TT2	H_TT3	H_TT5	H_TT7	H_TT11	H_TT12	H_TT16	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81	H_BP1	H_BP4	H_BP5	H_BP7
Periweissella cryptocerci	23	31	81	6	12	16	304	72	9	0	0	53	8	12	10	27	42	83	20	33	112	79	25	47	119	0	58	0	0	78
Streptococcus mitis	206	75	51	206	41	40	778	619	339	174	136	373	252	21	51	140	333	91	514	127	1770	2435	167	82	88	219	103	172	257	448
Streptococcus pyogenes	4748	1128	571	518	70	1110	6534	3432	2319	54	108	1917	1397	67	39	786	3486	1506	2073	1286	1402	1184	770	1018	1376	63	249	0	906	1217
Streptococcus oralis	140	70	48	160	0	49	521	274	202	212	76	391	477	12	41	7	111	0	586	118	2413	1021	164	39	76	184	0	166	609	364
Streptococcus sanguinis	85	48	54	69	0	45	232	408	78	74	72	313	339	12	21	64	147	76	288	52	870	394	186	69	79	187	32	75	202	497
Streptococcus toyakuensis	0	0	6	0	0	0	100	18	35	46	0	95	0	0	0	0	29	0	30	0	341	174	19	0	0	0	38	60	0	30
Streptococcus gordonii	52	19	13	53	0	24	33	221	0	52	63	80	0	6	12	0	10	0	154	13	568	93	88	6	30	67	8	66	61	149
Streptococcus parasanguinis	261	320	8	0	0	13	9	68	0	54	50	29	44	9	0	11	22	0	11	0	420	65	23	0	10	18	62	41	103	91
Streptococcus equi	9	22	15	11	11	10	141	27	225	0	0	207	7	0	0	14	208	11	227	0	48	10	11	14	10	0	6	0	0	33
Streptococcus dysgalactiae	0	97	35	138	121	61	687	308	473	0	0	697	590	0	0	228	1720	467	1333	630	2987	422	280	292	23	55	243	0	0	131
Streptococcus constellatus	26	8202	249	2744	1517	5813	62254	105	32	11	0	15335	106	7	12	1326	7035	6420	26409	5	11723	7213	9242	4966	1349	3739	46	1157	0	4390
Streptococcus agalactiae	0	96	153	50	29	98	2389	793	1892	403	0	1692	1435	201	568	1541	2481	195	1927	309	2734	312	142	101	302	239	569	0	0	187
Streptococcus infantis	120	84	68	50	15	68	1539	165	104	0	88	301	55	14	12	452	231	174	247	67	436	219	96	69	87	17	85	0	161	284
Streptococcus pseudopneumoniae	119	0	0	7	0	0	37	0	90	0	48	26	0	0	0	9	0	6	22	0	230	109	18	0	0	12	0	0	43	47
Streptococcus suis	936	352	785	1137	0	566	17614	2146	1749	0	324	15713	538	103	431	3721	3045	1417	2986	1133	1755	2187	897	1112	761	408	581	0	0	1428
