name	taxonomy_id	taxonomy_lvl	ERR12026990	ERR12026990	ERR12026997	ERR12027002	ERR12027006	ERR12027014	ERR12027016	ERR12027023	ERR12027028	ERR12027036	ERR12027040	ERR12027049	ERR12027058	ERR12027060	ERR12027062	ERR12027070	ERR12027080	ERR12027086	ERR12027089	ERR12027103	ERR12027112	ERR12027117	ERR12027120	ERR12027128	ERR12027134	ERR12027141	ERR12027142	ERR12027144	ERR12027147	ERR12027154	ERR12027158	ERR12027168	ERR12027172	ERR12027184	ERR12027193	ERR12027195	ERR12027201	ERR12027206	ERR12027212	ERR12027221	ERR12027225	ERR12027235	ERR12027243	ERR12027269	ERR12027274	ERR12027284	ERR12027286	ERR12027307	ERR12027314	ERR12027322	ERR12027324	ERR12027327	ERR12027340	ERR12027342	ERR12027347	ERR12027349	ERR12027353	ERR12027357	ERR12027359	ERR12027372	ERR12027380	ERR12027399	ERR12027404	ERR12027407	ERR12027412	ERR12027417	ERR12027421	ERR12027425	ERR12027433	ERR12027437	ERR12027442	ERR12027446	ERR12027451	ERR12027458	ERR12027461	ERR12027470	ERR12027472	ERR12027475	ERR12027483	ERR12027491	ERR12027497	ERR12027502	ERR12027516	ERR12027521	ERR12027532	ERR12027538	ERR12027544	ERR12027552	ERR12027555	ERR12027559	ERR12027562	ERR12027568	ERR12027572	ERR12027580	ERR12027594	ERR12027606	ERR12027606
Cardiobacterium sp. Marseille-Q4385	2866573	S	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	14	0	0	15	0	0	0	18	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Suttonella sp. R2A3	2908648	S	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiferrobacter sp. SPIII_3	1281578	S	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	11	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfurifustis variabilis	1675686	S	0	0	5	0	0	7	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	5	0	0	23	0	0	0	31	0	0	0	22	12	6	0	0	5	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endosymbiont of unidentified scaly snail isolate Monju	1248727	S	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	5	0	0	7	0	0	0	11	0	0	0	5	0	7	0	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia phenoliruptrix	252970	S	0	0	15	0	20	0	0	13	0	5	0	0	0	0	0	21	0	11	0	13	7	0	0	5	0	0	0	0	0	0	10	0	0	16	0	0	13	0	0	9	5	8	0	357	8	0	0	12	11	0	0	0	0	0	7	0	0	0	0	7	0	21	0	0	0	0	0	8	0	0	15	22	0	5	7	58	0	0	8	46	0	0	14	16	0	5	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia xenovorans	36873	S	0	0	16	0	24	10	0	8	0	0	0	13	0	0	0	18	0	11	0	0	9	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	11	0	0	0	22	14	0	443	7	0	0	14	20	0	0	0	0	0	0	0	6	6	0	10	0	46	0	0	0	0	0	17	0	0	16	20	0	7	0	78	0	0	11	33	0	0	18	12	0	12	8	0	0	0	0	0	0	0	0	0	0
Paraburkholderia atlantica	2654982	S	0	0	10	0	16	0	0	9	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	8	0	0	0	6	10	0	270	10	0	0	9	7	0	0	0	0	0	0	0	5	0	0	0	0	10	0	0	0	0	0	8	0	0	11	12	0	0	0	28	0	0	6	33	0	0	15	5	0	8	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia acidisoli	2571748	S	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	105	0	0	0	5	10	0	0	0	0	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	8	0	0	0	15	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia megapolitana	420953	S	0	0	8	0	6	0	0	6	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	10	7	5	0	235	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	10	0	6	0	0	0	0	0	12	0	0	8	10	0	6	0	35	0	0	7	17	0	9	7	6	0	6	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia edwinii	2861782	S	0	0	7	0	6	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	92	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	10	0	0	5	0	0	0	0	18	0	0	0	14	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia bonniea	2152891	S	0	0	6	0	10	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	84	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia caribensis	75105	S	0	0	7	0	12	19	0	7	0	0	0	8	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	6	7	0	15	0	0	8	0	0	8	7	0	0	287	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	7	0	0	6	15	0	0	0	27	0	0	14	29	0	0	7	7	0	5	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia tropica	92647	S	0	0	6	0	0	10	0	5	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	179	8	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	8	0	0	0	27	0	0	6	14	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sprentiae	948107	S	0	0	6	0	10	0	0	8	0	0	0	0	0	0	0	15	0	0	0	8	0	0	0	5	0	0	0	0	0	0	6	0	0	8	0	0	6	0	0	5	13	0	0	241	0	0	0	6	0	0	0	0	5	0	0	0	7	0	0	6	0	16	0	0	0	0	0	10	0	0	9	11	0	0	0	37	0	0	0	16	0	0	10	5	0	6	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia dokdonensis	2211211	S	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	38	0	0	0	21	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sabiae	273251	S	0	0	5	0	12	0	0	5	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	9	0	175	0	0	0	7	33	0	0	0	0	0	0	0	5	0	0	8	0	25	0	0	0	0	0	0	0	0	0	9	0	0	0	11	0	0	10	14	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. EM10	2839983	S	0	0	7	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	7	0	0	19	16	0	0	0	15	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus gilardii	82541	S	0	0	10	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	10	12	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus oxalaticus	96344	S	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	17	0	0	0	49	0	0	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus necator	106590	S	0	0	7	0	8	0	0	8	0	9	0	0	0	0	0	11	0	0	0	17	0	0	0	15	0	0	0	0	0	0	8	0	0	18	0	0	8	0	0	23	0	0	0	236	0	0	0	0	20	0	0	0	6	0	0	0	0	0	0	9	0	30	0	0	0	0	0	9	0	0	11	15	0	0	6	25	0	0	9	27	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia multivorans	87883	S	0	0	19	0	9	0	0	42	0	55	0	15	0	0	0	0	0	12	0	13	11	0	0	0	0	0	0	0	0	0	0	13	0	17	52	0	0	0	0	22	13	0	0	201	0	0	0	27	18	0	0	0	0	0	0	0	6	5	0	0	0	15	0	0	0	0	0	0	0	0	12	13	0	0	13	36	0	0	10	74	0	0	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia ubonensis	101571	S	0	0	12	0	0	10	0	0	0	0	0	0	0	0	0	7	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	14	0	22	0	0	0	0	0	29	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	8	0	0	0	11	0	0	27	33	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia vietnamiensis	60552	S	0	0	24	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	41	0	25	0	0	0	0	0	0	0	0	0	284	0	0	0	73	78	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia cenocepacia	95486	S	0	0	27	0	24	68	0	17	0	0	0	0	0	0	0	20	0	0	0	0	27	0	0	23	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	74	18	0	0	211	0	0	0	26	32	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	25	0	0	0	56	0	0	0	84	0	50	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia contaminans	488447	S	0	0	8	0	0	9	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	8	0	0	175	15	0	0	15	14	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	7	34	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. PAMC 26561	1795043	S	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	8	0	0	0	18	0	0	10	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia glumae	337	S	0	0	20	0	9	6	0	14	0	0	0	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	13	0	0	24	9	8	0	218	8	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	12	0	0	0	15	0	0	10	11	0	0	0	27	0	0	17	35	0	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia gladioli	28095	S	0	0	10	0	9	17	0	0	0	7	0	16	0	0	0	16	0	9	0	12	26	0	0	10	0	0	0	0	0	0	0	6	0	61	0	0	0	0	0	31	0	0	0	164	6	0	0	35	32	12	0	0	10	0	0	0	0	0	0	9	0	29	0	0	0	0	0	0	0	0	0	6	0	0	0	26	0	0	5	31	0	0	9	17	0	0	0	0	0	0	0	0	5	20	42	10	10
Polynucleobacter necessarius	576610	S	0	0	10	0	6	13	0	0	0	0	0	14	0	0	0	12	0	9	0	33	0	0	0	0	0	0	0	0	0	0	0	15	0	11	13	0	0	0	0	16	0	0	0	23	0	0	0	8	11	0	0	0	11	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	10	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea thiooxydans	445709	S	0	0	7	0	0	9	0	0	0	0	0	7	0	0	0	11	10	0	0	6	11	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	5	0	0	0	63	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	16	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea pnomenusa	93220	S	0	0	10	0	12	0	0	0	0	0	0	7	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	23	0	0	0	117	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	10	0	0	0	6	0	0	0	10	0	0	0	45	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea faecigallinarum	656179	S	0	0	10	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia solanacearum	305	S	0	0	26	0	0	23	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	42	0	0	0	88	0	0	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	8	0	0	0	0	9	0	0	0	13	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0
Ralstonia pickettii	329	S	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	15	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	5	0	0	0	62	0	0	5	8	0	0	25	34	0	0	50	27	0	0	71	36	0	9	8	0	69	6	0	218	0	0	0	0	0
Caballeronia sp. Lep1P3	2878150	S	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	11	0	0	0	57	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycetohabitans rhizoxinica	412963	S	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lautropia mirabilis	47671	S	0	0	5	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	7	0	0	0	57	0	0	0	0	0	0	0	8	0	8	0	0	21	0	0	10	0	0	0	70	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	30	0	0	10	7	0	19	0	0	5	0	0	0	0	0	0	0	0
Sutterella wadsworthensis	40545	S	0	0	2658	0	11	0	0	332	8	3130	79	9001	0	20	0	5868	1331	38	0	167	8	0	0	6	0	0	0	0	0	0	0	60	0	7	0	0	9288	0	0	15	25	2733	33	62	0	31	0	360	951	6	0	0	10354	0	0	0	0	261	0	1023	0	8465	26	0	0	0	0	7	280	0	0	104	0	0	0	2644	0	0	0	10356	0	5	0	1585	0	0	7087	0	11	0	0	0	0	0	0	0	0
Duodenibacillus massiliensis	1852381	S	0	0	1015	0	0	2758	0	0	0	0	0	110	0	10	0	0	20	37	0	142	0	0	0	7	0	0	0	0	0	0	0	43	0	11	6	0	5800	0	0	351	0	0	0	64	0	0	0	11	86	19	0	0	14	0	0	0	0	8	0	0	0	24	24	0	0	0	0	0	0	0	0	0	0	6	0	294	0	10	0	692	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicimonas muris	1796652	S	0	0	7	0	0	5	0	0	0	0	0	11	0	0	0	0	10	6	0	47	0	0	0	8	0	0	0	0	0	0	0	8	0	10	0	0	5	0	0	35	0	0	0	29	0	0	0	9	8	0	0	0	13	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	82	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbaspirillum rubrisubalbicans	80842	S	0	0	21	0	17	7	0	8	0	6	0	7	0	0	0	18	0	12	0	9	12	0	0	0	0	0	0	0	0	0	13	0	0	8	0	0	9	0	0	27	13	6	0	354	0	0	0	14	13	0	0	0	6	0	14	0	0	0	0	11	0	38	0	0	0	0	0	12	0	0	12	13	0	11	17	48	0	0	14	39	0	10	13	14	0	6	6	0	0	0	0	0	0	0	0	0	0
Herbaspirillum seropedicae	964	S	0	0	15	0	14	7	0	11	0	0	0	18	0	0	0	13	0	0	0	9	8	0	0	7	0	0	0	0	0	0	10	0	0	6	0	0	19	0	0	6	12	0	7	354	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	5	0	10	0	0	0	0	0	6	0	0	7	20	0	0	5	26	0	0	8	15	0	8	6	15	0	8	0	0	0	0	0	0	0	0	0	0	0
Herbaspirillum hiltneri	341045	S	0	0	11	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	98	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	6	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbaspirillum sp. WKF16	3028312	S	0	0	9	0	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	12	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbaspirillum frisingense	92645	S	0	0	10	0	8	7	0	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	16	6	0	0	222	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	8	0	0	0	13	0	0	6	29	0	0	6	19	0	0	8	8	0	6	0	0	0	0	0	0	0	0	0	0	0
Massilia sp. DM-R-R2A-13	2899220	S	0	0	11	0	0	12	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	21	0	0	0	15	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	18	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia violaceinigra	2045208	S	0	0	14	0	13	0	0	0	0	0	0	10	0	0	0	8	0	9	0	12	11	0	0	0	0	0	0	0	0	0	0	12	0	7	31	0	0	0	0	8	0	0	0	43	0	0	0	24	22	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	9	0	0	0	12	0	13	0	0	0	0	0	0	0	0	0	0	0
Massilia varians	457921	S	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia putida	1141883	S	0	0	8	0	0	7	0	0	0	0	0	13	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	14	0	0	0	25	0	0	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoduganella flava	871742	S	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	10	0	0	0	16	0	0	0	8	23	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	32	0	12	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Duganella dendranthematis	2728021	S	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	12	0	12	0	0	12	0	0	15	0	0	0	79	0	0	0	25	7	0	0	0	0	0	0	0	0	0	0	6	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	12	0	10	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxalobacter aliiformigenes	2946593	S	0	0	36	0	0	19	0	0	0	0	0	11	0	0	0	0	11	0	0	7	5	0	0	6	0	0	0	0	0	0	0	8	0	7	0	0	8	0	0	360	0	0	0	12	0	0	0	31	203	0	0	0	7	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	5	0	8	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0
Janthinobacterium sp. PAMC25594	2861284	S	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax radicis	758826	S	0	0	7	0	5	0	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas terrigena	32013	S	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	30	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	30	9	0	0	16	7	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0
Comamonas kerstersii	225992	S	0	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	17	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	16	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas antarctica	2743470	S	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	9	0	0	0	19	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	15	0	0	0	17	14	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia tsuruhatensis	180282	S	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	138	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	66	0	0	0	21	0	0	0	0	0	18	0	0	0	0	0	0	0
Variovorax paradoxus	34073	S	0	0	16	0	14	17	0	0	0	0	0	27	0	0	0	20	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	22	0	42	0	0	8	0	0	54	0	19	0	150	26	0	0	66	31	17	0	0	0	0	0	0	0	0	0	0	0	26	0	5	0	0	0	9	0	0	9	0	0	0	24	51	0	0	16	113	0	0	10	30	0	13	0	0	6	5	0	6	0	0	11	0	0
Rhodoferax sp. PAMC 29310	2822760	S	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax saidenbachensis	1484693	S	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
