name	taxonomy_id	taxonomy_lvl	ERR12026990	ERR12026990	ERR12026997	ERR12027002	ERR12027006	ERR12027014	ERR12027016	ERR12027023	ERR12027028	ERR12027036	ERR12027040	ERR12027049	ERR12027058	ERR12027060	ERR12027062	ERR12027070	ERR12027080	ERR12027086	ERR12027089	ERR12027103	ERR12027112	ERR12027117	ERR12027120	ERR12027128	ERR12027134	ERR12027141	ERR12027142	ERR12027144	ERR12027147	ERR12027154	ERR12027158	ERR12027168	ERR12027172	ERR12027184	ERR12027193	ERR12027195	ERR12027201	ERR12027206	ERR12027212	ERR12027221	ERR12027225	ERR12027235	ERR12027243	ERR12027269	ERR12027274	ERR12027284	ERR12027286	ERR12027307	ERR12027314	ERR12027322	ERR12027324	ERR12027327	ERR12027340	ERR12027342	ERR12027347	ERR12027349	ERR12027353	ERR12027357	ERR12027359	ERR12027372	ERR12027380	ERR12027399	ERR12027404	ERR12027407	ERR12027412	ERR12027417	ERR12027421	ERR12027425	ERR12027433	ERR12027437	ERR12027442	ERR12027446	ERR12027451	ERR12027458	ERR12027461	ERR12027470	ERR12027472	ERR12027475	ERR12027483	ERR12027491	ERR12027497	ERR12027502	ERR12027516	ERR12027521	ERR12027532	ERR12027538	ERR12027544	ERR12027552	ERR12027555	ERR12027559	ERR12027562	ERR12027568	ERR12027572	ERR12027580	ERR12027594	ERR12027606	ERR12027606
Mobiluncus sp. Marseille-Q7826	3036302	S	1752	1752	640	139	15441	15978	18	86	0	57	92	3352	0	1051	0	431	980	566	0	7605	5357	100	30	15292	16581	16581	116	1061	53	5	22	12305	14	4728	3959	0	74481	16	0	2610	1920	1135	207	30863	2299	17467	1393	33850	6069	17376	101	5	8029	0	299	0	11	0	0	658	0	970	132	29	62	0	44	499	136	32	8	12	0	112	66	2457	0	92	21	43	0	894	30	1691	0	5	0	0	0	0	0	0	0	0	0	0	0
Schaalia turicensis	131111	S	1295	1295	398	44	265	5273	0	403	0	302	0	86	0	49	0	235	279	245	0	867	21031	17	44	9927	131	131	21	65	9	5	400	3192	0	338	2858	0	2995	129	0	200	235	2019	0	14102	1512	65	292	2980	105	8988	549	8	16539	0	115	0	0	10	0	240	0	988	125	6	160	0	29	173	49	15	118	165	0	18	0	22	0	93	8	124	0	50	0	185	7	9	19	0	8	0	0	0	0	0	0	0	0
Schaalia odontolytica	1660	S	9	9	51	0	32	69	0	7	0	50	0	73	0	0	0	20	6	30	0	27	138	0	0	49	0	0	0	0	0	0	6	52	0	70	30	0	114	0	0	241	13	21	0	118	110	11	0	192	271	37	0	0	60	0	0	0	0	0	0	77	0	92	0	0	6	0	0	14	0	0	18	16	0	233	7	914	0	0	0	141	0	36	13	121	0	8	6	0	0	6	0	0	0	0	0	0	0
Schaalia radingae	131110	S	9	9	13	0	169	284	0	25	0	638	0	38	0	35	0	2933	556	58	0	163	1469	0	0	322	9	9	0	0	0	0	7	747	0	4401	287	0	170	14	0	41	187	67	0	2231	2243	32	0	3706	21	98	0	0	129	0	16	0	24	117	0	751	0	388	20	0	199	0	12	77	11	0	27	434	0	24	32	19	0	6	8	0	0	41	6	49	28	277	147	0	0	0	0	0	0	0	0	0	0
Varibaculum prostatecancerukia	2811781	S	217	217	730	10	4403	1451	21	190	0	339	41	639	0	718	0	1073	897	355	0	1990	7868	21	17	12493	549	549	6	73	11	0	132	8378	11	2336	37337	0	8428	340	0	308	581	574	0	1404	49600	1115	712	124678	585	1615	96	7	6434	0	250	0	0	0	0	5426	6	13864	184	21	127	0	63	308	67	0	381	686	0	564	67	598	0	77	12	37	0	123	11	2802	329	266	169	0	16	12	0	8	0	0	0	0	0
Actinotignum schaalii	59505	S	75	75	10	0	127	12	0	44	0	186	0	5	0	10	0	438	40	212	0	596	503	11	7	1141	6	6	0	0	0	0	0	1636	0	177	543	5	94	85	0	21	745	17	0	2259	2666	0	128	1626	41	1680	98	0	30	0	7	0	0	7	0	348	0	397	493	33	103	0	7	28	0	0	0	5	0	0	0	0	0	795	51	34	0	104	45	13	9	0	37	0	0	0	0	0	0	0	0	0	0
Actinotignum urinale	190146	S	59	59	23	5	283	99	0	23	0	57	13	35	0	24	0	33	53	85	0	923	574	7	0	815	184	184	0	16	0	0	10	399	0	84	943	0	828	239	0	35	78	125	0	230	582	111	19	1342	21	974	43	0	333	0	7	0	0	5	0	154	0	252	23	0	44	0	10	23	5	0	193	100	0	22	0	16	0	9	0	11	0	47	5	64	0	5	0	0	0	0	0	0	0	0	0	0	0
Winkia neuii	33007	S	102	102	4215	0	10561	1092	0	8162	41	53157	1118	343	0	127	0	415	20621	1906	0	1983	381	12	0	135	10	10	0	0	98	0	589	1289	0	370	15110	9	4707	235	0	304	19974	41774	5	216289	289	26	5	854	253	97	0	10	3294	0	422	0	116	367	0	9050	0	5797	695	131	48968	0	10	95	11	5	85825	33060	0	14849	1322	1901	9	520	1211	3513	240	534	1884	249	1257	2737	5720	0	31	0	0	0	0	0	0	0	0
Gleimia europaea	66228	S	70	70	30	0	46	346	0	24	0	72	6	14	0	418	0	1924	122	86	0	111	12428	0	0	628	0	0	0	0	0	0	59	1784	5	1096	234	0	6368	35	0	54	75	86	0	290	23704	92	14	47043	27	817	0	0	198	0	6	0	50	1515	0	13363	0	4662	7	0	47	0	108	161	30	0	66	37	0	145	12	172	0	0	0	13	0	52	15	30	0	8	6	0	0	0	0	0	0	0	0	0	0
Gleimia hominis	595468	S	7	7	9	0	104	51	0	5	0	218	0	25	0	0	0	46	58	89	0	96	150	0	0	36	5	5	0	0	0	0	5	33	0	56	73	0	115	12	0	84	10	37	0	323	272	0	5	417	10	78	0	0	140	0	0	0	0	0	0	22	0	16	0	0	48	0	0	69	0	0	35	44	0	7	0	7	0	6	0	25	0	0	8	9	9	7	14	0	0	0	0	0	0	0	0	0	0
