name	taxonomy_id	taxonomy_lvl	NEG	NC	TT28	TT54	TT20	TT81	TT60	AM26	AM24	AM29	AM13	TT21	AM48	TT55	TT23
Rothia aeria	172042	S	32	131	456	9	132	269	424	119	15	0	10	45	103	0	0
Rothia terrae	396015	S	18	0	6	0	0	0	15	0	8	0	7	0	5	9	0
Rothia dentocariosa	2047	S	11	269	3109	23	213	731	1749	10	5	0	77	7	644	22	5
Rothia kristinae	37923	S	10	29	86	0	18	166	116	0	6	0	43	42	21	8	0
Glutamicibacter protophormiae	37930	S	138	17	128	0	41	47	139	8	0	0	24	0	9	9	0
Arthrobacter sp. NEB 688	904039	S	31	24	20	0	7	45	102	0	0	0	44	0	0	0	0
Arthrobacter sp. StoSoilB5	2830992	S	11	0	0	0	0	12	53	0	0	0	0	0	0	0	0
Arthrobacter sp. PAMC 25486	1494608	S	7	0	7	0	0	0	18	0	0	0	10	0	0	0	0
Arthrobacter sp. StoSoilB22	2830996	S	6	0	8	0	24	29	51	0	0	0	7	0	0	0	0
Arthrobacter sp. FW305-BF8	2879617	S	5	7	17	0	0	15	107	0	0	0	12	0	0	7	0
Arthrobacter sp. ERGS1:01	1704044	S	5	0	13	0	0	17	38	0	0	0	28	0	15	0	0
Arthrobacter agilis	37921	S	13	81	50	0	14	145	254	0	14	0	58	9	17	21	0
Arthrobacter crystallopoietes	37928	S	11	16	16	0	0	24	55	0	0	0	37	0	0	0	0
Arthrobacter antioxidans	2895818	S	9	20	24	0	5	45	84	8	0	0	29	0	6	0	0
Pseudarthrobacter defluvii	410837	S	25	0	5	0	0	0	123	0	0	0	6	0	0	0	0
Pseudarthrobacter sp. NBSH8	2596911	S	13	0	0	0	0	0	103	0	0	0	19	0	0	0	0
Pseudarthrobacter equi	728066	S	9	8	0	0	0	13	142	0	0	0	11	0	0	0	0
Renibacterium salmoninarum	1646	S	24	0	0	0	0	10	8	0	0	0	7	0	0	0	0
Sinomonas atrocyanea	37927	S	11	12	7	0	0	19	48	7	0	0	43	0	14	0	0
Janibacter sp. CX7	2963431	S	257	194	384	7	76	462	1267	9	6	0	34	0	24	29	0
Janibacter sp. YB324	2761047	S	176	362	494	0	71	552	1194	7	0	0	27	0	25	21	0
