name	taxonomy_id	taxonomy_lvl	NEG	NC	TT28	TT54	TT20	TT81	TT60	AM26	AM24	AM29	AM13	TT21	AM48	TT55	TT23
Frigidibacter mobilis	1335048	S	6	89	84	0	27	96	349	0	26	0	19	0	5	0	0
Roseovarius sp. SCSIO 43702	2823043	S	19	30	35	0	22	39	133	0	0	0	9	0	0	0	0
Roseovarius sp. THAF8	2587846	S	32	0	29	0	0	0	45	0	0	0	0	0	0	0	0
Roseovarius sp. THAF9	2587847	S	19	9	27	0	0	40	54	0	0	0	14	0	0	6	0
Roseovarius indicus	540747	S	23	36	38	0	0	60	88	0	0	0	27	0	0	0	0
Jannaschia sp. CCS1	290400	S	9	6	5	0	0	17	46	0	0	0	7	0	0	0	0
Jannaschia sp. GRR-S6-38	3038773	S	9	38	31	0	0	58	183	0	0	0	22	0	15	0	0
Alloyangia pacifica	311180	S	25	43	30	0	20	51	160	0	0	0	16	0	0	0	0
Leisingera caerulea	506591	S	9	31	27	0	9	32	326	0	24	0	23	0	0	0	0
Sphingomonas sp. HMP9	1517554	S	42	154	235	23	45	231	195	25	91	0	40	0	19	11	0
Sphingomonas sp. PAMC26645	2565555	S	30	189	213	21	75	243	322	22	81	0	22	0	83	65	0
Sphingomonas sp. FARSPH	2219696	S	30	60	113	0	42	137	137	38	206	0	44	0	73	13	0
Sphingomonas sp. S2-65	2903960	S	24	29	40	0	0	56	106	0	33	0	16	0	0	17	0
Sphingomonas sp. J315	2898433	S	22	23	59	0	17	26	79	0	57	0	17	0	10	0	0
Sphingomonas sp. NIC1	1961362	S	32	29	173	0	28	162	184	0	133	0	47	0	59	30	0
Sphingomonas sp. AAP5	1523415	S	21	145	189	15	34	198	180	12	73	0	20	0	43	20	0
Sphingomonas sp. So64.6b	2997354	S	17	23	96	6	0	31	69	0	35	0	49	0	15	0	0
Sphingomonas sp. IC081	304378	S	40	25	1190	0	0	93	189	0	37	0	0	0	0	32	0
Sphingomonas sp. LHG3406-1	2804617	S	15	45	34	0	5	71	130	0	10	0	103	0	44	0	0
Sphingomonas sp. CL5.1	2653203	S	15	44	296	0	11	39	153	0	307	0	37	0	12	9	0
Sphingomonas sp. QA11	2950605	S	24	39	70	0	17	68	80	0	23	0	19	0	16	0	0
Sphingomonas sp. CV7422	3018036	S	12	52	93	0	15	91	123	0	103	0	34	0	29	11	0
Sphingomonas sp. SUN019	2937788	S	10	33	103	5	6	45	139	0	139	0	9	0	5	6	0
Sphingomonas sp. 7/4-4	3018446	S	10	10	53	6	0	39	63	0	26	0	42	0	0	5	0
Sphingomonas sp. KRR8	2942996	S	8	21	31	0	0	29	69	0	17	0	24	0	17	0	0
Sphingomonas sp. HDW15A	2714942	S	8	8	16	0	0	26	29	0	14	0	15	0	0	0	0
Sphingomonas sp. AP4-R1	2735134	S	7	25	65	0	10	36	98	0	33	0	39	0	28	7	0
Sphingomonas sp. H160509	2955313	S	5	55	33	0	5	54	62	0	45	0	5	0	35	0	0
Sphingomonas aerolata	185951	S	345	3692	2575	100	525	4941	4321	34	95	0	40	0	195	52	0
Sphingomonas paucimobilis	13689	S	31	46	305	0	241	196	623	0	272	0	55	0	30	32	0
Sphingomonas melonis	152682	S	38	91	533	25	89	271	386	15	848	0	45	0	108	19	0
Sphingomonas hankookensis	563996	S	24	139	536	23	154	915	469	11	1746	0	42	0	10	31	0
Sphingomonas sanguinis	33051	S	23	14	94	0	11	86	119	0	43	0	19	0	19	0	0
Sphingomonas naphthae	1813468	S	23	48	137	0	11	56	248	0	85	0	50	0	13	13	0
Sphingomonas aliaeris	2759526	S	13	123	157	31	25	159	242	10	70	0	21	7	69	5	0
Sphingomonas radiodurans	2890321	S	12	25	111	0	19	40	227	0	718	0	62	0	18	11	0
Sphingomonas taxi	1549858	S	13	95	164	11	22	152	207	0	110	0	54	0	24	13	0
Sphingomonas cannabina	2899123	S	10	44	84	0	12	81	84	0	57	0	49	0	10	17	0
Sphingomonas ginsengisoli An et al. 2013	363835	S	9	32	27	0	0	35	51	0	20	0	22	0	19	0	0
Sphingomonas sabuli	2764186	S	9	10	25	0	0	36	68	0	8	0	18	0	10	0	0
Sphingomonas insulae	424800	S	9	62	87	0	14	138	137	0	70	0	21	0	31	0	0
Sphingomonas donggukensis	2949093	S	8	43	67	0	0	49	79	0	61	0	30	0	19	14	0
Sphingomonas glaciei	2938948	S	7	35	74	0	11	67	192	6	7	0	242	10	55	0	0
Sphingomonas paeninsulae	2319844	S	7	12	35	0	0	18	39	0	5	0	0	0	0	0	0
Sphingomonas profundi	2681549	S	7	27	66	5	10	88	158	0	71	0	34	0	9	9	0
Sphingomonas hengshuiensis	1609977	S	6	49	82	0	0	36	116	0	16	0	28	0	15	5	0
Sphingomonas alpina	653931	S	6	20	93	0	0	55	68	0	25	0	15	0	0	0	0
Sphingomonas panacis	1560345	S	5	15	96	0	11	56	80	5	47	0	28	0	16	0	0
Sphingobium sp. YG1	2082188	S	122	56	455	12	69	123	489	210	337	0	27	0	609	172	0
Sphingobium sp. PAMC28499	2565554	S	34	238	122	0	39	228	9321	0	0	0	0	0	10	0	0
Sphingobium sp. AP49	1144307	S	18	23	217	0	0	51	1578	0	17	0	19	0	0	19	0
Sphingobium sp. MI1205	407020	S	14	11	154	0	0	33	58	0	21	0	11	0	0	0	0
Sphingobium sp. WTD-1	2979467	S	6	188	472	0	24	166	6309	0	114	0	28	0	0	0	0
Sphingobium yanoikuyae	13690	S	91	2870	1424	32	235	2029	93113	18	233	0	79	14	63	64	0
Sphingobium amiense	135719	S	12	23	605	0	10	35	170	0	83	0	40	0	10	0	0
Sphingopyxis sp. USTB-05	2830667	S	49	0	21	0	14	181	80	0	19	0	11	0	0	0	0
Novosphingobium sp. THN1	1016987	S	18	5	58	0	0	28	68	0	8	0	23	0	0	0	0
Novosphingobium sp. EMRT-2	2571749	S	18	21	241	0	16	63	126	0	8	0	46	0	13	7	0
Novosphingobium resinovorum	158500	S	8	39	135	6	10	1642	793	0	23	0	23	0	0	17	0
Novosphingobium decolorationis	2698673	S	7	12	63	0	0	38	203	0	19	0	36	0	0	0	0
Sphingomicrobium aestuariivivum	1582356	S	5	9	9	0	5	5	38	0	7	0	15	0	0	0	0
Sphingosinithalassobacter tenebrarum	2711215	S	5	8	49	0	0	29	28	0	8	0	19	0	0	0	0
Erythrobacter sp. SDW2	2907154	S	22	6	30	0	0	23	35	0	0	0	10	0	0	0	0
Croceibacterium sp. D39	3064139	S	14	13	19	0	0	0	34	0	0	0	14	0	0	0	0
Tsuneonella amylolytica	2338327	S	11	9	32	0	0	11	72	0	8	0	24	0	6	0	0
Sphingosinicella sp. BN140058	1892855	S	26	18	40	0	0	15	53	0	11	0	12	0	0	0	0
Aquisalinus flavus	1526572	S	7	0	5	0	0	0	39	0	0	0	12	0	0	0	0
Azospira sp. I09	1765049	S	1495	15	49	0	7	31	128	0	0	0	40	0	0	0	0
Azospira oryzae	146939	S	1453	18	107	0	0	61	183	0	0	0	222	0	0	11	0
Azospira inquinata	2785627	S	10	0	5	0	0	6	5	0	0	0	0	0	0	0	0
Aromatoleum aromaticum	551760	S	11	0	33	0	8	11	20	0	0	0	33	0	0	0	0
Azoarcus sp. KH32C	748247	S	10	0	43	0	0	14	27	0	0	0	21	0	0	0	0
Thauera sp. GDN1	2944810	S	5	0	38	0	13	11	28	0	0	0	21	0	0	0	0
Delftia acidovorans	80866	S	812	958	1477	40	428	2408	38515	19	29	0	46	0	80	0	0
Delftia sp. Cs1-4	742013	S	60	104	163	0	39	234	365	0	0	0	0	0	0	0	0
Delftia sp. HK171	1920191	S	26	124	131	0	37	118	461	0	0	0	0	0	0	0	0
Delftia tsuruhatensis	180282	S	84	6504	6384	161	2079	9399	3408	0	21	0	28	0	32	14	0
Delftia lacustris	558537	S	17	2867	3534	91	1042	3888	1651	60	60	0	56	0	72	33	0
Acidovorax temperans	80878	S	221	489	905	101	371	3035	971	29	0	0	9	9	21	33	0
Acidovorax sp. KKS102	358220	S	29	51	11883	1516	8332	76652	16035	12	30	0	10	11	47	14	0
Diaphorobacter sp. JS3050	2735554	S	50	66	205	0	146	245	85	0	0	0	0	0	0	0	0
Diaphorobacter sp. ED-3	3016636	S	47	58	115	63	165	247	61	0	0	0	0	48	23	0	0
Diaphorobacter sp. MNS-0	2866628	S	27	0	93	0	102	103	165	0	0	0	0	0	0	26	0
Diaphorobacter sp. JS3051	2792224	S	20	0	172	0	84	152	23	0	0	0	0	0	0	0	0
[Acidovorax] ebreus	721785	S	24	34	235	38	131	555	216	0	0	0	28	0	15	28	0
Diaphorobacter ruginosibacter	1715720	S	7	0	43	0	28	96	126	0	0	0	0	0	0	0	0
Variovorax sp. PAMC28562	2762323	S	21	16	76	0	10	129	119	6	0	0	18	0	5	0	0
Variovorax sp. PAMC26660	2762322	S	19	34	69	0	32	173	126	0	6	0	12	0	8	0	0
Variovorax sp. WDL1	207745	S	28	69	107	11	23	172	174	0	0	0	33	0	22	0	0
Variovorax sp. PAMC 28711	1795631	S	9	65	89	14	33	149	209	7	0	0	31	0	5	0	0
Variovorax sp. HW608	1034889	S	8	57	85	8	28	191	180	0	10	0	25	0	0	0	0
Variovorax sp. PBL-H6	434009	S	20	45	84	0	44	198	165	0	10	0	17	0	0	0	0
Comamonas testosteroni	285	S	58	40	52205	6604	49429	332204	95540	81	69	0	68	58	168	20	0
Comamonas thiooxydans	363952	S	19	51	1967	269	1897	9200	4197	7	0	0	22	10	23	15	0
Comamonas aquatica	225991	S	12	118	698	82	900	728	849	16	0	0	15	20	16	24	0
Comamonas sp. ZM22	3046670	S	10	0	101	9	134	511	234	0	12	0	0	0	32	7	0
Hydrogenophaga sp. PBC	795665	S	17	7	143	16	46	406	194	0	7	0	14	0	12	8	0
Hydrogenophaga taeniospiralis	65656	S	8	13	133	8	36	350	144	0	0	0	12	14	0	5	0
Rhodoferax aquaticus	2527691	S	14	0	26	0	9	77	59	0	0	0	0	0	0	0	0
Rhodoferax sp. AJA081-3	2752316	S	9	18	45	0	15	231	86	9	0	0	5	0	0	0	0
Polaromonas naphthalenivorans	216465	S	18	16	71	0	20	126	134	0	7	0	13	0	0	0	0
Ramlibacter tataouinensis	94132	S	17	97	296	22	118	616	549	14	22	0	60	0	22	10	0
Kinneretia sp. DAIF2	2714952	S	11	29	321	6	87	430	534	0	7	0	19	0	7	0	0
Alicycliphilus denitrificans	179636	S	13	38	232	19	177	509	375	11	9	0	37	25	27	0	0
Limnohabitans sp. 103DPR2	1678129	S	10	5	21	0	6	49	19	0	0	0	0	0	0	0	0
Paenacidovorax monticola	1926868	S	9	28	136	9	56	528	160	7	0	0	12	0	0	0	0
Melaminivora jejuensis	1267217	S	8	13	73	5	137	162	85	0	0	0	9	0	0	0	0
Ottowia sp. oral taxon 894	1658672	S	6	0	34	0	10	44	42	0	0	0	7	0	0	0	0
Verminephrobacter eiseniae	364317	S	5	18	82	0	38	275	117	0	8	0	13	0	0	9	0
Burkholderia contaminans	488447	S	103	0	70	0	15	73	72	50	53	0	19	0	64	33	0
Burkholderia ubonensis	101571	S	26	16	43	0	0	34	84	0	0	0	28	0	0	0	0
Burkholderia dolosa	152500	S	10	0	10	0	0	14	33	0	0	0	10	0	0	0	0
Burkholderia gladioli	28095	S	12	29	60	14	22	85	151	0	7	0	20	0	0	0	0
Cupriavidus pauculus	82633	S	13	19	2996	25	41	265	429	0	14	0	2298	11	11	5	32
Cupriavidus taiwanensis	164546	S	21	80	1088	0	36	212	570	0	9	0	115	0	9	14	0
Cupriavidus sp. MP-37	2884455	S	18	18	153	0	0	44	45	0	0	0	0	0	0	0	0
Paraburkholderia tropica	92647	S	12	0	37	0	10	22	72	0	0	0	13	0	0	0	0
Paraburkholderia phymatum	148447	S	15	15	19	0	0	13	33	0	0	0	13	0	0	0	12
Caballeronia sp. TF1N1	2878153	S	21	14	12	0	0	16	20	0	0	0	17	0	0	0	0
Caballeronia grimmiae	1071679	S	10	8	0	0	0	26	33	0	0	0	0	0	0	0	0
Ralstonia pickettii	329	S	21	15	112	13	9	36	235	5	7	0	16	0	24	0	0
Polynucleobacter sp. MWH-UH2A	1855617	S	11	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Lautropia mirabilis	47671	S	10	255	407	14	66	427	471	0	0	0	17	0	21	7	0
Massilia sp. NP310	2861282	S	27	1931	9260	56	482	2791	21286	611	309	9	63	130	48	130	0
Massilia sp. H6	2970464	S	21	375	193	0	71	349	4340	182	527	0	10	5	5	7	0
Massilia sp. REN29	3068633	S	19	794	821	20	180	721	9782	566	346	0	27	11	22	13	0
Massilia sp. R2A-15	3064278	S	15	153	96	6	35	241	2479	65	96	0	13	0	17	0	0
Massilia sp. WG5	1707785	S	12	297	225	16	103	359	5223	119	327	0	19	13	16	9	0
Massilia sp. LPB0304	2769491	S	7	808	402	12	231	928	21405	118	291	0	34	48	17	0	0
Massilia sp. YMA4	1593482	S	6	104	49	0	29	201	1427	28	36	0	14	0	0	0	0
Massilia oculi	945844	S	36	822	1568	16	147	838	16869	297	193	0	15	15	29	6	0
Massilia varians	457921	S	19	532	378	10	337	973	6396	290	2276	0	22	11	28	0	0
Massilia forsythiae	2728020	S	10	228	187	7	75	267	4312	125	89	0	14	0	10	0	0
Massilia violaceinigra	2045208	S	8	213	124	0	57	290	2589	44	73	0	27	0	25	5	0
Pseudoduganella umbonata	864828	S	15	105	55	0	29	109	930	17	29	0	27	0	0	0	0
Pseudoduganella armeniaca	2072590	S	12	110	65	0	12	169	824	13	10	0	9	0	0	0	0
Pseudoduganella sp. SL102	2995154	S	15	103	55	0	0	77	868	12	23	0	0	0	16	0	0
Pseudoduganella albidiflava	321983	S	9	95	52	0	21	80	624	14	46	0	26	0	0	0	0
Herbaspirillum sp. WKF16	3028312	S	20	21	28	0	9	75	175	0	0	0	15	0	0	0	0
Herbaspirillum robiniae	2014887	S	7	28	45	0	8	54	158	0	8	0	19	0	0	0	0
Herbaspirillum huttiense	863372	S	6	21	44	0	28	328	246	5	0	0	0	0	9	8	0
Janthinobacterium agaricidamnosum	55508	S	12	44	82	16	24	149	867	10	0	0	14	0	0	0	0
Methylibium sp. Pch-M	2082386	S	23	18	94	0	17	147	226	7	0	0	27	0	18	9	0
Methylibium petroleiphilum	105560	S	14	18	113	0	11	155	285	14	11	0	22	0	51	0	0
Aquincola tertiaricarbonis	391953	S	35	58	304	29	76	496	7548	14	3062	0	42	8	26	20	0
Mitsuaria sp. 7	1658665	S	24	1614	1248	36	283	2734	2209	0	14	0	18	0	54	8	0
Schlegelella aquatica	376175	S	12	102	1600	98	337	655	2506	134	48	0	254	75	1123	430	0
Caldimonas brevitalea	413882	S	9	19	52	0	14	89	153	5	0	0	12	0	0	6	0
Leptothrix cholodnii	34029	S	17	10	93	8	16	133	270	8	0	0	27	0	11	5	0
Piscinibacter sp. XHJ-5	3037797	S	16	22	90	5	8	174	273	0	8	0	17	6	0	0	0
Sphaerotilus sulfidivorans	639200	S	9	24	265	0	22	114	196	0	0	0	20	0	14	0	0
Roseateles sp. BIM B-1768	2978473	S	5	127	159	8	30	262	300	0	12	0	36	8	10	0	0
Achromobacter deleyi	1353891	S	33	417	1755	38	458	6018	4477	5	27	0	46	0	25	0	0
Achromobacter spanius	217203	S	26	532	614	0	112	1520	1199	0	0	0	30	0	16	0	0
Achromobacter xylosoxidans	85698	S	14	1316	2751	103	692	9363	7185	14	29	0	226	13	36	35	0
Achromobacter mucicolens	1389922	S	13	106	259	0	22	293	592	9	0	0	53	0	54	0	0
Alcaligenes faecalis	511	S	27	559	3967	141	1083	5893	7727	65	18	0	71	35	58	64	0
Alcaligenes sp. NLF5-7	2918755	S	14	0	67	0	82	139	90	0	0	0	0	0	0	0	0
Orrella dioscoreae	1851544	S	10	11	16	0	14	42	79	0	0	0	8	0	0	0	0
Paucibacter aquatile	2070761	S	19	34	437	93	283	7981	2961	0	0	0	7	0	0	0	0
Paucibacter sp. KCTC 42545	1768242	S	5	12	114	0	27	188	195	0	0	0	6	0	5	0	0
Neisseria subflava	28449	S	33	183	579	18	69	228	495	0	26	0	17	24	93	16	0
Neisseria mucosa	488	S	15	122	479	0	24	147	233	0	0	0	14	0	37	8	0
Neisseria elongata	495	S	15	52	400	0	24	147	278	0	0	0	7	0	19	7	0
Neisseria cinerea	483	S	9	29	127	6	77	37	165	0	0	0	0	13	11	0	0
Neisseria macacae	496	S	8	60	344	0	25	81	106	0	0	0	0	0	0	0	0
Neisseria arctica	1470200	S	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Uruburuella suis	252130	S	13	0	17	0	0	5	13	0	0	0	0	0	0	0	0
Kingella oralis	505	S	7	18	121	0	16	83	109	0	0	0	11	5	37	0	0
Pseudogulbenkiania sp. NH8B	748280	S	17	0	19	0	0	31	49	0	0	0	7	0	0	0	0
Vogesella sp. XCS3	2877939	S	8	0	24	37	17	252	82	6	0	0	6	0	0	0	0
Laribacter hongkongensis	168471	S	6	0	74	0	17	65	33	0	0	0	5	0	0	0	0
Denitratisoma sp. DHT3	1981880	S	6	0	34	0	0	33	10	5	0	0	0	0	7	0	0
Chryseobacterium manosquense	2754694	S	51	93	461	37	89	535	784	43	123	0	69	0	23	151	0
Chryseobacterium taklimakanense	536441	S	27	22	325	11	26	205	53914	0	12	0	18	5	0	9	0
Chryseobacterium glaciei	1685010	S	10	0	76	0	16	224	132	0	0	0	0	0	0	0	0
Chryseobacterium oranimense	421058	S	9	23	75	0	10	138	92	0	0	0	11	6	0	8	0
Chryseobacterium arthrosphaerae	651561	S	6	0	94	0	44	281	347	0	13	0	0	0	6	0	0
Chryseobacterium gambrini	373672	S	5	13	1566	10	45	772	250	0	943	0	0	8	45	35	0
Epilithonimonas vandammei	2487072	S	88	512	15320	2262	9375	64741	26330	71	3213	0	53	15	122	165	8
Epilithonimonas zeae	1416779	S	14	34	459	56	250	1751	1000	7	50	0	5	0	0	6	0
Kaistella sp. 97-N-M2	2908645	S	9	0	11	0	0	32	26	0	0	0	0	0	14	0	0
Cloacibacterium caeni	2004710	S	162	1597	12902	70	544	2138	1961	50	55	0	212	45	138	136	0
Cloacibacterium normanense	237258	S	46	659	4970	34	229	983	892	6	25	0	44	8	19	44	0
Cloacibacterium sp. TD35	2976818	S	19	237	2049	11	75	395	308	0	9	0	25	6	8	13	0
Flavobacterium sp. CC-SYL302	2870839	S	44	0	0	0	0	5	29	0	0	0	0	0	0	0	0
Capnocytophaga sp. oral taxon 864	1316593	S	13	0	0	0	0	33	0	0	0	0	0	0	0	0	0
Capnocytophaga gingivalis	1017	S	7	34	85	0	8	88	109	0	0	0	0	0	33	0	0
Zunongwangia sp. HRR-M8	3015170	S	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salegentibacter sp. T436	1729720	S	6	41	21	0	0	64	42	0	0	0	0	0	6	0	0
Segatella copri	165179	S	62	38	435	51	15	59	76	0	0	0	0	85	0	5	0
Prevotella jejuni	1177574	S	19	12	759	1521	129	32	862	18	0	15	20	905	215	47	47
Prevotella bivia	28125	S	12	22	169108	18856	2473	58	85113	1278	203	1642	86	250299	79	3278	1083
Prevotella melaninogenica	28132	S	7	133	2202	1586	84	217	1466	18	5	7	30	13219	220	99	120
Prevotella sp. E15-22	2937774	S	5	0	6	20	0	0	0	0	0	0	0	14	0	0	0
Hoylesella buccalis	28127	S	26	22	3526	9422	256	80	3270	34	0	40	250	22537	0	244	139
Bacteroides uniformis	820	S	39	0	2948	41	0	31	61	0	0	11	0	8	8	0	0
Bacteroides ovatus	28116	S	27	0	70	14	0	0	0	0	0	0	0	63	0	0	0
Bacteroides thetaiotaomicron	818	S	9	17	238	161	11	16	135	0	0	7	0	637	0	7	0
Bacteroides eggerthii	28111	S	6	0	0	0	0	0	7	0	0	20	0	6	0	0	0
Bacteroides caccae	47678	S	6	9	9	0	16	9	0	0	0	0	0	9	0	34	0
Phocaeicola dorei	357276	S	27	0	32	26	11	19	20	0	0	25	0	17	0	0	0
Phocaeicola vulgatus	821	S	13	32	43	17	18	18	31	0	0	14	0	12	0	10	8
Porphyromonas sp. oral taxon 275	712435	S	29	6	31	0	0	0	38	0	0	0	7	65	7	0	0
Alistipes finegoldii	214856	S	14	0	12	9	0	0	59	0	0	0	0	192	0	0	0
Alistipes senegalensis	1288121	S	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Tannerella forsythia	28112	S	8	9	122	0	0	13	32	0	0	0	0	24	35	5	0
Hymenobacter sp. BT18	2835648	S	23	69	25	0	0	74	85	0	0	0	42	0	17	0	0
Hymenobacter sp. HDW8	2714932	S	26	35	16	0	0	50	59	0	0	0	21	0	38	0	0
Hymenobacter sp. APR13	1356852	S	19	114	47	0	20	136	59	0	0	0	43	0	13	0	0
Hymenobacter sp. PAMC 26628	1484118	S	14	162	110	0	29	218	157	0	0	0	14	0	0	0	0
Hymenobacter sp. YIM 151500-1	2987689	S	7	84	48	0	21	87	94	0	0	0	53	0	8	0	0
Hymenobacter sp. 5516J-16	2932253	S	11	74	37	0	0	67	62	0	0	0	39	0	22	0	0
Hymenobacter swuensis	1446467	S	28	92	38	0	0	82	103	0	0	0	62	0	34	0	0
Hymenobacter monticola	1705399	S	23	243	132	7	47	323	245	0	0	0	31	0	38	0	0
Hymenobacter volaticus	2932254	S	21	223	88	0	30	153	121	0	0	0	18	0	26	0	0
Hymenobacter sedentarius	1411621	S	14	157	103	5	21	267	162	0	0	0	19	0	34	0	0
Hymenobacter canadensis	2999067	S	5	109	60	0	13	141	68	0	0	0	33	0	25	0	0
Nibribacter ruber	2698458	S	13	0	6	0	0	7	0	0	0	0	140	0	0	0	0
Spirosoma oryzicola	2898794	S	14	0	19	0	10	58	21	0	0	0	0	0	0	0	0
Spirosoma radiotolerans	1379870	S	8	50	31	0	0	41	22	0	0	0	5	0	0	0	0
Fibrisoma limi	663275	S	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Runella slithyformis	106	S	6	0	0	0	0	15	5	0	0	0	0	0	5	0	0
Sphingobacterium lactis	797291	S	38	6	10	0	0	0	128	0	0	0	0	0	0	0	0
Sphingobacterium spiritivorum	258	S	13	1683	580	25	179	1600	1450	0	0	0	0	0	0	0	0
Sphingobacterium sp. SYP-B4668	2996035	S	12	6	0	0	0	0	115	0	0	0	0	0	0	0	0
Sphingobacterium faecium	34087	S	19	0	9	0	0	0	983	0	0	0	32	0	0	0	0
Sphingobacterium daejeonense	371142	S	6	0	21	0	10	45	21661	0	0	0	11	0	0	0	0
Pedobacter sp. D749	2856523	S	36	5	12	0	9	27	24	0	0	0	11	0	0	0	0
Pedobacter sp. SL55	2995161	S	12	7	152	15	84	807	185	0	0	0	0	0	0	0	0
Pedobacter sp. HDW13	2714940	S	10	6	7	0	12	26	35	0	0	0	0	0	0	0	0
Pedobacter sp. KBS0701	2578106	S	11	0	9	0	0	38	9	0	0	0	7	0	0	0	0
Pedobacter sp. G11	2482728	S	8	0	17	0	0	88	46	0	0	0	10	0	0	0	0
Pedobacter mucosus	2895286	S	10	5	5	0	0	25	10	0	0	0	14	0	0	0	0
Mucilaginibacter mali	2740462	S	7	0	0	0	0	6	7	0	0	0	0	0	7	0	0
Chitinophaga oryzae	2725414	S	29	0	0	0	0	0	7	0	0	0	6	0	0	0	0
Chitinophaga sp. HK235	2952571	S	14	0	0	0	0	8	7	0	0	0	6	0	0	0	0
Chitinophaga pinensis	79329	S	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Chitinophaga filiformis	104663	S	9	0	0	0	0	0	9	0	0	0	6	0	0	0	0
Flavihumibacter rivuli	2838156	S	26	0	0	0	0	19	6	0	0	0	16	0	0	0	0
Ferruginibacter albus	2875540	S	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Flavisolibacter ginsenosidimutans	661481	S	12	0	15	0	0	0	0	0	0	0	10	0	0	0	0
Filimonas lacunae	477680	S	7	0	18	0	0	11	12	0	0	0	16	0	0	0	0
Aureispira sp. CCB-E	3051121	S	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonas groenlandica	2732249	S	7	0	0	0	0	7	16	0	0	0	0	0	0	0	0
Fusobacterium polymorphum	76857	S	233	0	449	25	163	36	236	0	0	16	14	177	30	0	0
Fusobacterium nucleatum	851	S	68	26	746	102	848	78	1221	0	0	69	0	919	10	9	6
Fusobacterium animalis	76859	S	52	0	2048	283	2177	22	3832	0	0	174	0	2497	25	7	35
Fusobacterium mortiferum	850	S	19	0	0	0	0	5	12	0	0	0	0	12	5	0	0
Fusobacterium hwasookii	1583098	S	16	0	72	18	81	16	174	0	6	10	0	182	0	0	0
Fusobacterium canifelinum	285729	S	12	0	64	0	40	7	88	0	0	0	0	55	0	0	0
Micavibrio aeruginosavorus	349221	S	374	18	13	0	5	7	13	0	0	0	0	0	0	6	0
Bdellovibrio sp. 22V	3044166	S	12	0	0	0	0	16	7	0	0	0	0	0	0	0	0
Limnoglobus roseus	2598579	S	11	0	27	0	11	19	49	0	0	0	63	0	0	0	0
Urbifossiella limnaea	2528023	S	6	10	92	0	0	32	43	0	0	0	151	0	0	0	0
Planctomyces sp. SH-PL14	1632864	S	15	0	13	0	0	13	46	0	0	0	6	0	0	0	0
Paludisphaera borealis	1387353	S	11	0	6	0	0	7	135	0	0	0	24	0	0	0	0
Roseimicrobium sp. ORNL1	2711231	S	15	0	0	0	0	6	0	0	0	0	7	0	0	0	0
Ereboglobus luteus	1796921	S	19	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Luteitalea pratensis	1855912	S	23	8	18	0	13	23	39	0	0	0	14	0	0	0	0
Luteitalea sp. TBR-22	2802971	S	11	0	28	0	8	30	38	0	0	0	0	0	0	0	0
Geothrix sp. 21YS21S-2	3068893	S	12	0	0	0	0	5	24	0	0	0	5	0	0	0	0
Geothrix sp. PMB-07	3068640	S	5	0	0	0	0	0	8	0	0	0	0	0	11	0	0
Edaphobacter lichenicola	2051959	S	10	0	6	0	0	0	6	0	0	0	0	0	0	0	0
Myxococcus hansupus	1297742	S	26	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Anaeromyxobacter oryzae	2918170	S	13	0	0	0	0	9	12	0	0	0	0	0	0	0	0
Archangium violaceum	83451	S	12	20	27	0	0	0	48	0	0	0	15	0	0	0	0
Campylobacter showae	204	S	19	0	21	0	0	12	21	0	0	0	0	0	7	0	0
Campylobacter ureolyticus	827	S	12	14	663	526	31	30	512	0	0	20	15	1420	0	15	0
Wolinella succinogenes	844	S	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospira tepida	2973512	S	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solidesulfovibrio carbinoliphilus	345370	S	12	0	12	0	0	0	8	0	0	0	0	0	0	0	0
Candidatus Chromulinivorax destructor	2066483	S	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Bradymonas sediminis	1548548	S	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0
Homo sapiens	9606	S	5028	1859198	865530	318585	823504	844445	1126017	382642	102518	788512	628752	668722	362674	570479	1147400
Malassezia restricta	76775	S	3600	6223	22583	319	2282	18479	40885	199	359	57	639	134	1405	414	14
Rhizoctonia solani	456999	S	5	23	19	0	0	19	50	0	0	0	0	0	0	5	0
Aspergillus puulaauensis	1220207	S	127	21	44	0	6	17	73	0	0	0	0	0	7	8	0
Akanthomyces muscarius	2231603	S	21	12	6	0	0	18	21	0	0	0	0	0	0	0	0
Fusarium oxysporum	5507	S	5	20	25	0	0	33	11	0	0	0	974	0	0	0	15
Ascochyta rabiei	5454	S	10	79	60	0	14	78	114	5	0	0	0	0	14	0	5
Pichia kudriavzevii	4909	S	48	0	76	17	184	273	90	17	0	0	0	0	0	0	0
